Nama_File,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Mean_H,Mean_S,Mean_V,Std_H,Std_S,Std_V,Skew_R,Skew_G,Skew_B,Kurt_R,Kurt_G,Kurt_B
istockphoto-104118859-612x612.jpg,201.33,173.76,174.03,68.63,97.96,97.88,66.25,63.27,203.07,81.78,80.41,66.94,-0.78,-0.5,-0.49,-0.99,-1.6,-1.63
istockphoto-104118859-612x612.jpg,201.33,173.76,174.03,68.63,97.96,97.88,66.25,63.27,203.07,81.78,80.41,66.94,-0.78,-0.5,-0.49,-0.99,-1.6,-1.63
istockphoto-1071724874-612x612.jpg,219.73,152.97,151.64,49.43,100.9,99.27,51.91,98.47,219.76,79.0,97.03,49.45,-1.08,-0.2,-0.08,-0.39,-1.69,-1.79
istockphoto-1071724874-612x612.jpg,219.73,152.97,151.64,49.43,100.9,99.27,51.91,98.47,219.76,79.0,97.03,49.45,-1.08,-0.2,-0.08,-0.39,-1.69,-1.79
istockphoto-1129330002-612x612.jpg,223.18,168.52,167.9,43.46,103.17,100.42,56.76,84.71,224.11,80.66,100.5,41.88,-1.22,-0.52,-0.38,0.73,-1.53,-1.72
istockphoto-1129330002-612x612.jpg,223.18,168.52,167.9,43.46,103.17,100.42,56.76,84.71,224.11,80.66,100.5,41.88,-1.22,-0.52,-0.38,0.73,-1.53,-1.72
istockphoto-1129330005-612x612.jpg,221.59,156.45,159.69,43.29,106.69,101.93,62.38,93.4,221.62,83.76,102.69,43.31,-1.17,-0.29,-0.24,0.82,-1.74,-1.8
istockphoto-1129330005-612x612.jpg,221.59,156.45,159.69,43.29,106.69,101.93,62.38,93.4,221.62,83.76,102.69,43.31,-1.17,-0.29,-0.24,0.82,-1.74,-1.8
istockphoto-1129330007-612x612.jpg,222.67,173.56,173.07,46.0,102.68,100.52,51.7,78.84,223.55,78.41,100.22,44.32,-1.3,-0.63,-0.52,0.87,-1.4,-1.6
istockphoto-1129330007-612x612.jpg,222.67,173.56,173.07,46.0,102.68,100.52,51.7,78.84,223.55,78.41,100.22,44.32,-1.3,-0.63,-0.52,0.87,-1.4,-1.6
istockphoto-1194909938-612x612.jpg,229.54,172.45,168.53,33.85,101.18,104.48,8.19,81.5,229.57,33.73,100.17,33.86,-0.93,-0.55,-0.49,-0.29,-1.52,-1.62
istockphoto-1194909938-612x612.jpg,229.54,172.45,168.53,33.85,101.18,104.48,8.19,81.5,229.57,33.73,100.17,33.86,-0.93,-0.55,-0.49,-0.29,-1.52,-1.62
istockphoto-1211615527-612x612.jpg,207.81,147.7,151.32,51.36,100.26,96.24,82.34,95.23,207.84,87.49,91.58,51.38,-0.6,-0.05,-0.04,-1.15,-1.75,-1.74
istockphoto-1211615527-612x612.jpg,207.81,147.7,151.32,51.36,100.26,96.24,82.34,95.23,207.84,87.49,91.58,51.38,-0.6,-0.05,-0.04,-1.15,-1.75,-1.74
istockphoto-1251667475-612x612.jpg,212.2,152.95,159.4,48.98,107.41,100.03,79.35,93.82,212.24,87.0,102.13,49.0,-0.59,-0.26,-0.25,-1.23,-1.74,-1.75
istockphoto-1251667475-612x612.jpg,212.2,152.95,159.4,48.98,107.41,100.03,79.35,93.82,212.24,87.0,102.13,49.0,-0.59,-0.26,-0.25,-1.23,-1.74,-1.75
istockphoto-1278670245-612x612.jpg,228.13,170.76,158.84,57.82,92.17,102.19,22.62,93.08,235.8,52.05,100.11,35.79,-2.61,-0.41,-0.27,5.6,-1.5,-1.71
istockphoto-1278670245-612x612.jpg,228.13,170.76,158.84,57.82,92.17,102.19,22.62,93.08,235.8,52.05,100.11,35.79,-2.61,-0.41,-0.27,5.6,-1.5,-1.71
istockphoto-1291262170-612x612.jpg,225.48,164.32,167.53,39.13,101.42,96.99,62.17,84.18,225.52,83.91,95.93,39.15,-0.96,-0.37,-0.34,-0.52,-1.68,-1.72
istockphoto-1291262170-612x612.jpg,225.48,164.32,167.53,39.13,101.42,96.99,62.17,84.18,225.52,83.91,95.93,39.15,-0.96,-0.37,-0.34,-0.52,-1.68,-1.72
istockphoto-1296217548-612x612.jpg,223.79,163.65,158.08,38.34,91.55,94.46,50.76,89.82,224.92,77.65,90.31,35.96,-1.22,-0.21,-0.1,1.02,-1.69,-1.78
istockphoto-1296217548-612x612.jpg,223.79,163.65,158.08,38.34,91.55,94.46,50.76,89.82,224.92,77.65,90.31,35.96,-1.22,-0.21,-0.1,1.02,-1.69,-1.78
istockphoto-1312496608-612x612.jpg,224.14,167.24,151.19,40.82,88.51,98.82,18.51,95.16,224.17,48.13,93.23,40.84,-1.19,-0.28,-0.04,0.46,-1.6,-1.81
istockphoto-1312496608-612x612.jpg,224.14,167.24,151.19,40.82,88.51,98.82,18.51,95.16,224.17,48.13,93.23,40.84,-1.19,-0.28,-0.04,0.46,-1.6,-1.81
istockphoto-1317485931-612x612.jpg,218.45,146.36,146.36,45.02,99.31,98.03,52.24,100.32,218.48,79.94,94.01,45.04,-0.93,-0.0,0.06,-0.49,-1.74,-1.78
istockphoto-1317485931-612x612.jpg,218.45,146.36,146.36,45.02,99.31,98.03,52.24,100.32,218.48,79.94,94.01,45.04,-0.93,-0.0,0.06,-0.49,-1.74,-1.78
istockphoto-139536288-612x612.jpg,238.41,182.34,161.16,39.3,85.49,100.42,14.53,91.3,244.53,28.16,98.92,21.19,-3.18,-0.59,-0.29,9.44,-1.39,-1.74
istockphoto-139536288-612x612.jpg,238.41,182.34,161.16,39.3,85.49,100.42,14.53,91.3,244.53,28.16,98.92,21.19,-3.18,-0.59,-0.29,9.44,-1.39,-1.74
istockphoto-145152710-612x612.jpg,226.78,193.41,184.59,45.0,82.06,92.72,9.28,61.62,227.86,31.45,81.54,42.27,-1.5,-0.72,-0.65,1.23,-1.26,-1.45
istockphoto-145152710-612x612.jpg,226.78,193.41,184.59,45.0,82.06,92.72,9.28,61.62,227.86,31.45,81.54,42.27,-1.5,-0.72,-0.65,1.23,-1.26,-1.45
istockphoto-146074221-612x612.jpg,231.45,193.83,189.5,36.15,85.92,91.9,2.72,57.92,231.47,14.1,82.64,36.16,-1.35,-0.77,-0.77,1.06,-1.3,-1.29
istockphoto-146074221-612x612.jpg,231.45,193.83,189.5,36.15,85.92,91.9,2.72,57.92,231.47,14.1,82.64,36.16,-1.35,-0.77,-0.77,1.06,-1.3,-1.29
istockphoto-146899851-612x612.jpg,242.82,195.44,191.02,22.17,85.96,90.75,16.58,61.25,243.2,33.4,86.92,22.35,-2.33,-0.88,-0.84,7.19,-1.07,-1.13
istockphoto-146899851-612x612.jpg,242.82,195.44,191.02,22.17,85.96,90.75,16.58,61.25,243.2,33.4,86.92,22.35,-2.33,-0.88,-0.84,7.19,-1.07,-1.13
istockphoto-147072004-612x612.jpg,252.55,207.06,209.26,9.7,83.96,79.55,34.72,47.89,252.58,69.61,83.97,9.7,-8.57,-1.35,-1.33,98.12,0.09,0.04
istockphoto-147072004-612x612.jpg,252.55,207.06,209.26,9.7,83.96,79.55,34.72,47.89,252.58,69.61,83.97,9.7,-8.57,-1.35,-1.33,98.12,0.09,0.04
istockphoto-147666530-612x612.jpg,228.36,164.3,161.5,37.24,105.12,107.36,22.05,90.01,228.41,56.8,104.03,37.27,-1.29,-0.38,-0.34,0.71,-1.72,-1.79
istockphoto-147666530-612x612.jpg,228.36,164.3,161.5,37.24,105.12,107.36,22.05,90.01,228.41,56.8,104.03,37.27,-1.29,-0.38,-0.34,0.71,-1.72,-1.79
istockphoto-1489396457-612x612.jpg,227.57,153.26,153.28,37.71,92.96,87.47,79.96,102.93,231.0,83.38,93.46,29.15,-1.97,-0.18,0.07,4.01,-1.52,-1.67
istockphoto-1489396457-612x612.jpg,227.57,153.26,153.28,37.71,92.96,87.47,79.96,102.93,231.0,83.38,93.46,29.15,-1.97,-0.18,0.07,4.01,-1.52,-1.67
istockphoto-1605993675-612x612.jpg,224.73,158.74,155.9,43.02,96.29,93.47,76.08,100.59,228.85,82.78,97.66,33.73,-1.65,-0.31,-0.06,2.12,-1.54,-1.76
istockphoto-1605993675-612x612.jpg,224.73,158.74,155.9,43.02,96.29,93.47,76.08,100.59,228.85,82.78,97.66,33.73,-1.65,-0.31,-0.06,2.12,-1.54,-1.76
istockphoto-166138544-612x612.jpg,235.51,184.03,184.87,36.22,96.1,94.02,42.95,66.76,235.56,75.38,92.51,36.16,-1.86,-0.77,-0.73,2.44,-1.23,-1.28
istockphoto-166138544-612x612.jpg,235.51,184.03,184.87,36.22,96.1,94.02,42.95,66.76,235.56,75.38,92.51,36.16,-1.86,-0.77,-0.73,2.44,-1.23,-1.28
istockphoto-172381794-612x612.jpg,211.66,178.73,178.85,56.18,96.0,94.02,68.81,65.24,212.67,78.76,88.74,55.14,-0.98,-0.71,-0.63,-0.41,-1.26,-1.42
istockphoto-172381794-612x612.jpg,211.66,178.73,178.85,56.18,96.0,94.02,68.81,65.24,212.67,78.76,88.74,55.14,-0.98,-0.71,-0.63,-0.41,-1.26,-1.42
istockphoto-177110145-612x612.jpg,207.67,143.22,149.45,46.01,95.35,92.24,130.43,96.56,208.32,63.02,89.15,46.59,-0.62,-0.04,-0.06,-0.98,-1.73,-1.72
istockphoto-177110145-612x612.jpg,207.67,143.22,149.45,46.01,95.35,92.24,130.43,96.56,208.32,63.02,89.15,46.59,-0.62,-0.04,-0.06,-0.98,-1.73,-1.72
istockphoto-177247793-612x612.jpg,238.03,207.62,204.77,34.08,80.25,82.82,20.33,45.07,238.48,54.46,75.97,33.44,-2.32,-1.27,-1.19,5.79,-0.14,-0.38
istockphoto-177247793-612x612.jpg,238.03,207.62,204.77,34.08,80.25,82.82,20.33,45.07,238.48,54.46,75.97,33.44,-2.32,-1.27,-1.19,5.79,-0.14,-0.38
