Kategori,Nama_File,Hue_1,Warna_1,Area,Perimeter,Circularity,Aspect_Ratio,Solidity,Extent,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Mean_H,Mean_S,Mean_V,Std_H,Std_S,Std_V,Skew_R,Skew_G,Skew_B,Kurt_R,Kurt_G,Kurt_B,Contrast,Correlation,Energy,Homogeneity,Dissimilarity,Entropy,FFT_Mean,FFT_Std,Gabor_Mean,GLCM_Contrast,GLCM_Dissimilarity,GLCM_Homogeneity,GLCM_Energy,GLCM_Correlation,GLCM_ASM,GLCM_Contrast_0deg,GLCM_Homogeneity_0deg,GLCM_Energy_0deg,GLCM_Contrast_45deg,GLCM_Homogeneity_45deg,GLCM_Energy_45deg,GLCM_Contrast_90deg,GLCM_Homogeneity_90deg,GLCM_Energy_90deg,GLCM_Contrast_135deg,GLCM_Homogeneity_135deg,GLCM_Energy_135deg,Canny_Edge_Density_Low,Canny_Edge_Density_Medium,Canny_Edge_Density_High,Canny_Contour_Count_Low,Canny_Contour_Count_Medium,Canny_Contour_Count_High,Canny_Avg_Contour_Length_Low,Canny_Avg_Contour_Length_Medium,Canny_Avg_Contour_Length_High,Sobel_Mean,Sobel_Std,Hue_2,Warna_2,Hue_3,Warna_3
apel,istockphoto-104118859-612x612.jpg,177.0,Merah,304889.0,2220.0,0.7774020311341112,0.82,1.0,0.9963692810457516,201.33,173.76,174.03,68.63,97.96,97.88,66.25,63.27,203.07,81.78,80.41,66.94,-0.78,-0.5,-0.49,-0.99,-1.6,-1.63,7715.07,0.4825129174507772,0.2701674479260114,0.01,87.84,4.5,7077.11,111583.41,0.0,2.592,0.6415,0.7998,0.5494,0.9888,0.3019,1.9387,0.8172,0.5509,3.1375,0.7869,0.5482,2.0798,0.811,0.5506,3.212,0.7841,0.5481,2.5944,1.2042,0.7131,239,85,28,61.11,79.4,146.48,38.82,76.35,,,,
apel,istockphoto-104118859-612x612.jpg,177.0,Merah,304889.0,2220.0,0.7774020311341112,0.82,1.0,0.9963692810457516,201.33,173.76,174.03,68.63,97.96,97.88,66.25,63.27,203.07,81.78,80.41,66.94,-0.78,-0.5,-0.49,-0.99,-1.6,-1.63,7715.07,0.4825129174507772,0.2701674479260114,0.01,87.84,4.5,7077.11,111583.41,0.0,2.592,0.6415,0.7998,0.5494,0.9888,0.3019,1.9387,0.8172,0.5509,3.1375,0.7869,0.5482,2.0798,0.811,0.5506,3.212,0.7841,0.5481,2.5944,1.2042,0.7131,239,85,28,61.11,79.4,146.48,38.82,76.35,,,,
apel,istockphoto-1071724874-612x612.jpg,142.2,Merah,348881.0,2364.0,0.7844987177781361,1.07,1.0,0.9966206179441474,219.73,152.97,151.64,49.43,100.9,99.27,51.91,98.47,219.76,79.0,97.03,49.45,-1.08,-0.2,-0.08,-0.39,-1.69,-1.79,6861.22,0.4794275019988273,0.1765176902894578,0.01,82.83,5.38,5237.93,113243.56,0.0,1.4664,0.5485,0.7954,0.4412,0.9929,0.1947,1.1537,0.816,0.4428,1.5879,0.7788,0.4398,1.0487,0.8144,0.4427,2.0752,0.7724,0.4396,2.6935,1.0581,0.5545,230,83,35,73.7,79.4,98.76,34.93,56.79,,,,
apel,istockphoto-1071724874-612x612.jpg,142.2,Merah,348881.0,2364.0,0.7844987177781361,1.07,1.0,0.9966206179441474,219.73,152.97,151.64,49.43,100.9,99.27,51.91,98.47,219.76,79.0,97.03,49.45,-1.08,-0.2,-0.08,-0.39,-1.69,-1.79,6861.22,0.4794275019988273,0.1765176902894578,0.01,82.83,5.38,5237.93,113243.56,0.0,1.4664,0.5485,0.7954,0.4412,0.9929,0.1947,1.1537,0.816,0.4428,1.5879,0.7788,0.4398,1.0487,0.8144,0.4427,2.0752,0.7724,0.4396,2.6935,1.0581,0.5545,230,83,35,73.7,79.4,98.76,34.93,56.79,,,,
apel,istockphoto-1129330002-612x612.jpg,177.0,Merah,373321.0,2444.0,0.7853981633974482,1.0,1.0,0.9967346960570721,223.18,168.52,167.9,43.46,103.17,100.42,56.76,84.71,224.11,80.66,100.5,41.88,-1.22,-0.52,-0.38,0.73,-1.53,-1.72,6864.61,0.4483641521853264,0.2853936079809723,0.01,82.85,4.43,5262.81,123826.54,0.0,1.3058,0.4215,0.8519,0.5491,0.9937,0.3016,0.9755,0.8662,0.5503,1.607,0.839,0.5481,0.982,0.8653,0.5504,1.6584,0.8369,0.5477,2.4021,1.1846,0.7785,245,98,58,66.23,81.06,89.13,27.33,57.34,,,,
apel,istockphoto-1129330002-612x612.jpg,177.0,Merah,373321.0,2444.0,0.7853981633974482,1.0,1.0,0.9967346960570721,223.18,168.52,167.9,43.46,103.17,100.42,56.76,84.71,224.11,80.66,100.5,41.88,-1.22,-0.52,-0.38,0.73,-1.53,-1.72,6864.61,0.4483641521853264,0.2853936079809723,0.01,82.85,4.43,5262.81,123826.54,0.0,1.3058,0.4215,0.8519,0.5491,0.9937,0.3016,0.9755,0.8662,0.5503,1.607,0.839,0.5481,0.982,0.8653,0.5504,1.6584,0.8369,0.5477,2.4021,1.1846,0.7785,245,98,58,66.23,81.06,89.13,27.33,57.34,,,,
apel,istockphoto-1129330005-612x612.jpg,177.0,Merah,373321.0,2444.0,0.7853981633974482,1.0,1.0,0.9967346960570721,221.59,156.45,159.69,43.29,106.69,101.93,62.38,93.4,221.62,83.76,102.69,43.31,-1.17,-0.29,-0.24,0.82,-1.74,-1.8,7354.3,0.4864613614987314,0.2385875976493894,0.01,85.76,4.77,5255.88,119861.29,0.0,1.3157,0.4222,0.8497,0.5093,0.9941,0.2593,0.9807,0.8642,0.5105,1.6793,0.8335,0.5078,0.9915,0.8656,0.5108,1.6114,0.8355,0.5078,2.283,1.163,0.7131,278,111,65,55.94,71.06,73.2,27.32,57.01,,,,
apel,istockphoto-1129330005-612x612.jpg,177.0,Merah,373321.0,2444.0,0.7853981633974482,1.0,1.0,0.9967346960570721,221.59,156.45,159.69,43.29,106.69,101.93,62.38,93.4,221.62,83.76,102.69,43.31,-1.17,-0.29,-0.24,0.82,-1.74,-1.8,7354.3,0.4864613614987314,0.2385875976493894,0.01,85.76,4.77,5255.88,119861.29,0.0,1.3157,0.4222,0.8497,0.5093,0.9941,0.2593,0.9807,0.8642,0.5105,1.6793,0.8335,0.5078,0.9915,0.8656,0.5108,1.6114,0.8355,0.5078,2.283,1.163,0.7131,278,111,65,55.94,71.06,73.2,27.32,57.01,,,,
apel,istockphoto-1129330007-612x612.jpg,177.0,Merah,373321.0,2444.0,0.7853981633974482,1.0,1.0,0.9967346960570721,222.67,173.56,173.07,46.0,102.68,100.52,51.7,78.84,223.55,78.41,100.22,44.32,-1.3,-0.63,-0.52,0.87,-1.4,-1.6,6963.14,0.4434225029206518,0.2993903536135343,0.01,83.45,4.36,5333.3,125870.92,0.0,1.3301,0.4249,0.8512,0.5701,0.9937,0.325,1.0031,0.8676,0.5716,1.5942,0.8388,0.5691,0.9993,0.8624,0.5711,1.7239,0.8358,0.5687,2.342,1.1166,0.7147,258,108,60,61.8,68.66,77.99,27.44,57.72,,,,
apel,istockphoto-1129330007-612x612.jpg,177.0,Merah,373321.0,2444.0,0.7853981633974482,1.0,1.0,0.9967346960570721,222.67,173.56,173.07,46.0,102.68,100.52,51.7,78.84,223.55,78.41,100.22,44.32,-1.3,-0.63,-0.52,0.87,-1.4,-1.6,6963.14,0.4434225029206518,0.2993903536135343,0.01,83.45,4.36,5333.3,125870.92,0.0,1.3301,0.4249,0.8512,0.5701,0.9937,0.325,1.0031,0.8676,0.5716,1.5942,0.8388,0.5691,0.9993,0.8624,0.5711,1.7239,0.8358,0.5687,2.342,1.1166,0.7147,258,108,60,61.8,68.66,77.99,27.44,57.72,,,,
apel,istockphoto-1194909938-612x612.jpg,2.0,Merah,315276.0,2254.0,0.7798174559065856,1.18,1.0,0.9964349376114082,229.54,172.45,168.53,33.85,101.18,104.48,8.19,81.5,229.57,33.73,100.17,33.86,-0.93,-0.55,-0.49,-0.29,-1.52,-1.62,6522.39,0.4271465490632293,0.3013266874919826,0.01,80.76,4.26,4620.49,115556.02,0.0,1.2021,0.4248,0.8435,0.5669,0.9939,0.3214,0.9451,0.8602,0.5681,1.4479,0.8298,0.5659,0.8673,0.8559,0.568,1.548,0.8282,0.5657,1.9437,0.9817,0.6179,231,96,43,48.31,57.34,79.24,27.35,54.09,,,,
apel,istockphoto-1194909938-612x612.jpg,2.0,Merah,315276.0,2254.0,0.7798174559065856,1.18,1.0,0.9964349376114082,229.54,172.45,168.53,33.85,101.18,104.48,8.19,81.5,229.57,33.73,100.17,33.86,-0.93,-0.55,-0.49,-0.29,-1.52,-1.62,6522.39,0.4271465490632293,0.3013266874919826,0.01,80.76,4.26,4620.49,115556.02,0.0,1.2021,0.4248,0.8435,0.5669,0.9939,0.3214,0.9451,0.8602,0.5681,1.4479,0.8298,0.5659,0.8673,0.8559,0.568,1.548,0.8282,0.5657,1.9437,0.9817,0.6179,231,96,43,48.31,57.34,79.24,27.35,54.09,,,,
apel,istockphoto-1211615527-612x612.jpg,177.0,Merah,345215.0,2352.0,0.7841964776749564,1.08,1.0,0.9966021155222984,207.81,147.7,151.32,51.36,100.26,96.24,82.34,95.23,207.84,87.49,91.58,51.38,-0.6,-0.05,-0.04,-1.15,-1.75,-1.74,7065.44,0.5061193899540556,0.1600091436234012,0.01,84.06,5.47,5770.24,109400.44,0.0,1.7368,0.587,0.7901,0.4216,0.9918,0.1777,1.2481,0.8133,0.4233,2.0707,0.7721,0.42,1.3713,0.8064,0.4232,2.2569,0.7687,0.4199,3.0396,1.2806,0.746,268,112,60,71.58,71.51,76.71,37.37,61.9,,,,
apel,istockphoto-1211615527-612x612.jpg,177.0,Merah,345215.0,2352.0,0.7841964776749564,1.08,1.0,0.9966021155222984,207.81,147.7,151.32,51.36,100.26,96.24,82.34,95.23,207.84,87.49,91.58,51.38,-0.6,-0.05,-0.04,-1.15,-1.75,-1.74,7065.44,0.5061193899540556,0.1600091436234012,0.01,84.06,5.47,5770.24,109400.44,0.0,1.7368,0.587,0.7901,0.4216,0.9918,0.1777,1.2481,0.8133,0.4233,2.0707,0.7721,0.42,1.3713,0.8064,0.4232,2.2569,0.7687,0.4199,3.0396,1.2806,0.746,268,112,60,71.58,71.51,76.71,37.37,61.9,,,,
