Nama_File,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Mean_H,Mean_S,Mean_V,Std_H,Std_S,Std_V,Skew_R,Skew_G,Skew_B,Kurt_R,Kurt_G,Kurt_B
istockphoto-1019837036-612x612.jpg,244.31,208.52,180.48,24.98,73.03,108.19,10.39,73.39,245.82,30.44,107.26,20.49,-2.86,-1.19,-0.82,8.19,-0.17,-1.25
istockphoto-1019837036-612x612.jpg,244.31,208.52,180.48,24.98,73.03,108.19,10.39,73.39,245.82,30.44,107.26,20.49,-2.86,-1.19,-0.82,8.19,-0.17,-1.25
istockphoto-1149286249-612x612.jpg,242.25,235.63,208.08,39.39,34.15,78.77,8.48,44.92,245.89,17.2,75.57,23.62,-4.28,-1.56,-1.27,17.86,1.29,-0.01
istockphoto-1149286249-612x612.jpg,242.25,235.63,208.08,39.39,34.15,78.77,8.48,44.92,245.89,17.2,75.57,23.62,-4.28,-1.56,-1.27,17.86,1.29,-0.01
istockphoto-1171367229-612x612.jpg,241.56,233.33,185.38,34.71,30.87,95.95,12.08,67.47,246.34,18.07,94.59,20.22,-3.01,-1.1,-0.87,8.07,-0.28,-0.96
istockphoto-1171367229-612x612.jpg,241.56,233.33,185.38,34.71,30.87,95.95,12.08,67.47,246.34,18.07,94.59,20.22,-3.01,-1.1,-0.87,8.07,-0.28,-0.96
istockphoto-1171367243-612x612.jpg,238.78,232.9,184.17,40.39,32.6,98.34,12.28,68.97,245.24,19.9,96.43,23.44,-2.58,-1.12,-0.81,5.4,-0.18,-1.14
istockphoto-1171367243-612x612.jpg,238.78,232.9,184.17,40.39,32.6,98.34,12.28,68.97,245.24,19.9,96.43,23.44,-2.58,-1.12,-0.81,5.4,-0.18,-1.14
istockphoto-1195116522-612x612.jpg,228.04,225.33,206.23,63.52,55.76,86.14,59.35,44.1,233.46,53.71,77.95,55.73,-2.67,-2.37,-1.44,5.54,4.56,0.33
istockphoto-1195116522-612x612.jpg,228.04,225.33,206.23,63.52,55.76,86.14,59.35,44.1,233.46,53.71,77.95,55.73,-2.67,-2.37,-1.44,5.54,4.56,0.33
istockphoto-1195116554-612x612.jpg,230.19,229.43,214.15,45.49,41.72,81.49,94.38,43.65,240.52,31.77,71.86,40.52,-3.47,-2.67,-1.69,11.15,6.86,1.07
istockphoto-1195116554-612x612.jpg,230.19,229.43,214.15,45.49,41.72,81.49,94.38,43.65,240.52,31.77,71.86,40.52,-3.47,-2.67,-1.69,11.15,6.86,1.07
istockphoto-1195117589-612x612.jpg,237.62,238.2,214.77,39.96,36.16,83.39,85.05,43.0,245.04,28.47,77.27,33.02,-4.28,-3.05,-1.71,17.89,9.54,1.12
istockphoto-1195117589-612x612.jpg,237.62,238.2,214.77,39.96,36.16,83.39,85.05,43.0,245.04,28.47,77.27,33.02,-4.28,-3.05,-1.71,17.89,9.54,1.12
istockphoto-1195117744-612x612.jpg,229.2,230.69,208.61,50.76,47.14,88.75,81.97,51.23,240.51,28.21,80.04,44.8,-3.44,-2.65,-1.54,10.83,6.78,0.52
istockphoto-1195117744-612x612.jpg,229.2,230.69,208.61,50.76,47.14,88.75,81.97,51.23,240.51,28.21,80.04,44.8,-3.44,-2.65,-1.54,10.83,6.78,0.52
istockphoto-1195117749-612x612.jpg,247.6,245.7,233.04,33.39,30.6,60.66,13.63,20.68,248.98,32.09,56.51,28.6,-5.65,-4.55,-2.61,31.19,21.76,5.27
istockphoto-1195117749-612x612.jpg,247.6,245.7,233.04,33.39,30.6,60.66,13.63,20.68,248.98,32.09,56.51,28.6,-5.65,-4.55,-2.61,31.19,21.76,5.27
istockphoto-1195117759-612x612.jpg,233.49,231.36,213.79,40.34,38.75,74.01,86.56,43.6,242.77,33.47,63.25,36.3,-4.29,-3.0,-1.46,18.16,9.88,0.45
istockphoto-1195117759-612x612.jpg,233.49,231.36,213.79,40.34,38.75,74.01,86.56,43.6,242.77,33.47,63.25,36.3,-4.29,-3.0,-1.46,18.16,9.88,0.45
istockphoto-119597188-612x612.jpg,222.98,218.54,170.63,58.38,52.91,104.68,14.29,80.08,228.45,18.9,101.79,47.11,-1.83,-1.3,-0.63,2.22,0.61,-1.37
istockphoto-119597188-612x612.jpg,222.98,218.54,170.63,58.38,52.91,104.68,14.29,80.08,228.45,18.9,101.79,47.11,-1.83,-1.3,-0.63,2.22,0.61,-1.37
istockphoto-1197428679-612x612.jpg,227.07,226.65,203.72,62.88,52.35,80.49,64.81,42.49,233.11,46.05,66.23,52.96,-2.26,-2.11,-1.16,3.44,3.34,-0.28
istockphoto-1197428679-612x612.jpg,227.07,226.65,203.72,62.88,52.35,80.49,64.81,42.49,233.11,46.05,66.23,52.96,-2.26,-2.11,-1.16,3.44,3.34,-0.28
istockphoto-1206575305-612x612.jpg,220.62,229.99,206.98,61.26,44.56,82.96,13.97,38.68,230.28,22.33,70.33,44.26,-1.55,-1.66,-1.32,1.0,1.7,-0.08
istockphoto-1206575305-612x612.jpg,220.62,229.99,206.98,61.26,44.56,82.96,13.97,38.68,230.28,22.33,70.33,44.26,-1.55,-1.66,-1.32,1.0,1.7,-0.08
istockphoto-1206825656-612x612.jpg,238.04,236.16,218.88,44.22,40.98,81.85,90.39,35.85,244.2,28.22,74.61,37.34,-4.12,-2.85,-1.98,15.98,7.88,2.1
