Nama_File,Canny_Edge_Density_Low,Canny_Edge_Density_Medium,Canny_Edge_Density_High,Canny_Contour_Count_Low,Canny_Contour_Count_Medium,Canny_Contour_Count_High,Canny_Avg_Contour_Length_Low,Canny_Avg_Contour_Length_Medium,Canny_Avg_Contour_Length_High,Sobel_Mean,Sobel_Std
istockphoto-1019837036-612x612.jpg,0.8815,0.6552,0.5054,20,4,6,195.59,722.04,367.23,19.68,44.96
istockphoto-1019837036-612x612.jpg,0.8815,0.6552,0.5054,20,4,6,195.59,722.04,367.23,19.68,44.96
istockphoto-1149286249-612x612.jpg,0.6178,0.5663,0.4691,8,8,6,548.69,503.06,559.06,10.39,39.6
istockphoto-1149286249-612x612.jpg,0.6178,0.5663,0.4691,8,8,6,548.69,503.06,559.06,10.39,39.6
istockphoto-1171367229-612x612.jpg,0.7787,0.4683,0.4169,2,3,6,2214.97,884.01,392.35,11.32,33.59
istockphoto-1171367229-612x612.jpg,0.7787,0.4683,0.4169,2,3,6,2214.97,884.01,392.35,11.32,33.59
istockphoto-1171367243-612x612.jpg,0.9279,0.6714,0.5024,4,3,7,1383.66,1338.55,425.25,13.02,38.15
istockphoto-1171367243-612x612.jpg,0.9279,0.6714,0.5024,4,3,7,1383.66,1338.55,425.25,13.02,38.15
istockphoto-1195116522-612x612.jpg,1.1101,0.9564,0.7838,17,11,10,288.7,378.32,348.36,15.06,59.68
istockphoto-1195116522-612x612.jpg,1.1101,0.9564,0.7838,17,11,10,288.7,378.32,348.36,15.06,59.68
istockphoto-1195116554-612x612.jpg,1.1658,0.8146,0.7401,10,7,8,516.42,501.25,399.18,13.72,56.53
istockphoto-1195116554-612x612.jpg,1.1658,0.8146,0.7401,10,7,8,516.42,501.25,399.18,13.72,56.53
istockphoto-1195117589-612x612.jpg,1.1518,1.0244,0.5062,9,8,5,559.92,554.64,443.54,12.53,52.48
istockphoto-1195117589-612x612.jpg,1.1518,1.0244,0.5062,9,8,5,559.92,554.64,443.54,12.53,52.48
istockphoto-1195117744-612x612.jpg,1.01,0.7974,0.5671,6,5,8,795.34,745.94,329.02,14.17,54.6
istockphoto-1195117744-612x612.jpg,1.01,0.7974,0.5671,6,5,8,795.34,745.94,329.02,14.17,54.6
istockphoto-1195117749-612x612.jpg,0.6524,0.3172,0.3,4,2,2,794.58,763.61,717.47,7.04,44.5
istockphoto-1195117749-612x612.jpg,0.6524,0.3172,0.3,4,2,2,794.58,763.61,717.47,7.04,44.5
istockphoto-1195117759-612x612.jpg,0.6672,0.4429,0.3901,8,6,5,358.67,306.21,326.24,9.5,40.11
istockphoto-1195117759-612x612.jpg,0.6672,0.4429,0.3901,8,6,5,358.67,306.21,326.24,9.5,40.11
istockphoto-119597188-612x612.jpg,1.7042,1.1736,0.9689,26,15,17,301.85,356.55,255.51,27.53,69.61
istockphoto-119597188-612x612.jpg,1.7042,1.1736,0.9689,26,15,17,301.85,356.55,255.51,27.53,69.61
istockphoto-1197428679-612x612.jpg,1.2067,1.0276,0.9083,11,10,11,503.12,466.49,373.11,18.09,57.69
istockphoto-1197428679-612x612.jpg,1.2067,1.0276,0.9083,11,10,11,503.12,466.49,373.11,18.09,57.69
istockphoto-1206575305-612x612.jpg,0.9771,0.6894,0.5983,21,13,12,202.7,235.1,220.08,13.82,48.67
istockphoto-1206575305-612x612.jpg,0.9771,0.6894,0.5983,21,13,12,202.7,235.1,220.08,13.82,48.67
istockphoto-1206825656-612x612.jpg,0.9415,0.5667,0.4337,10,5,5,447.06,526.96,401.91,9.82,46.22
istockphoto-1206825656-612x612.jpg,0.9415,0.5667,0.4337,10,5,5,447.06,526.96,401.91,9.82,46.22
istockphoto-1209795414-612x612.jpg,0.5667,0.3636,0.3464,4,3,2,655.03,558.03,796.65,7.38,36.45
istockphoto-1209795414-612x612.jpg,0.5667,0.3636,0.3464,4,3,2,655.03,558.03,796.65,7.38,36.45
istockphoto-1214491990-612x612.jpg,0.3951,0.216,0.1957,5,5,5,534.03,283.29,252.18,7.07,26.23
istockphoto-1214491990-612x612.jpg,0.3951,0.216,0.1957,5,5,5,534.03,283.29,252.18,7.07,26.23
istockphoto-1220524504-612x612.jpg,0.958,0.8462,0.646,3,6,9,1378.29,594.45,298.48,11.35,36.12
istockphoto-1220524504-612x612.jpg,0.958,0.8462,0.646,3,6,9,1378.29,594.45,298.48,11.35,36.12
istockphoto-1220524506-612x612.jpg,0.7073,0.5699,0.4862,10,10,8,326.86,256.81,273.08,9.39,39.34
istockphoto-1220524506-612x612.jpg,0.7073,0.5699,0.4862,10,10,8,326.86,256.81,273.08,9.39,39.34
istockphoto-1220993696-612x612.jpg,1.1841,0.9237,0.6423,14,8,9,487.36,662.03,402.06,14.53,47.66
istockphoto-1220993696-612x612.jpg,1.1841,0.9237,0.6423,14,8,9,487.36,662.03,402.06,14.53,47.66
istockphoto-1223382354-612x612.jpg,0.6259,0.5354,0.2367,9,5,5,322.82,487.84,216.61,9.7,25.35
istockphoto-1223382354-612x612.jpg,0.6259,0.5354,0.2367,9,5,5,322.82,487.84,216.61,9.7,25.35
istockphoto-1223746290-612x612.jpg,0.4902,0.4426,0.1896,5,2,3,464.51,1049.46,316.33,7.15,24.5
istockphoto-1223746290-612x612.jpg,0.4902,0.4426,0.1896,5,2,3,464.51,1049.46,316.33,7.15,24.5
istockphoto-1225492835-612x612.jpg,0.8946,0.6907,0.4847,28,18,9,196.04,230.89,326.25,10.09,48.38
istockphoto-1225492835-612x612.jpg,0.8946,0.6907,0.4847,28,18,9,196.04,230.89,326.25,10.09,48.38
istockphoto-1253272655-612x612.jpg,1.024,0.6035,0.4818,11,6,5,428.94,471.52,447.73,11.81,37.69
istockphoto-1253272655-612x612.jpg,1.024,0.6035,0.4818,11,6,5,428.94,471.52,447.73,11.81,37.69
istockphoto-1272230724-612x612.jpg,0.6836,0.4353,0.3536,12,9,6,264.51,229.75,277.08,8.24,41.39
istockphoto-1272230724-612x612.jpg,0.6836,0.4353,0.3536,12,9,6,264.51,229.75,277.08,8.24,41.39
istockphoto-1312182523-612x612.jpg,0.5827,0.293,0.107,7,6,3,478.38,279.72,189.79,9.92,24.0
istockphoto-1312182523-612x612.jpg,0.5827,0.293,0.107,7,6,3,478.38,279.72,189.79,9.92,24.0
istockphoto-1312509574-612x612.jpg,0.4168,0.3495,0.2387,7,5,3,406.86,467.16,519.7,7.25,25.0
istockphoto-1312509574-612x612.jpg,0.4168,0.3495,0.2387,7,5,3,406.86,467.16,519.7,7.25,25.0
istockphoto-1313488206-612x612.jpg,0.6682,0.3886,0.2213,11,5,2,258.43,339.09,465.32,6.37,30.71
istockphoto-1313488206-612x612.jpg,0.6682,0.3886,0.2213,11,5,2,258.43,339.09,465.32,6.37,30.71
istockphoto-1400453203-612x612.jpg,0.6949,0.5508,0.4468,3,4,3,1045.49,617.37,677.8,7.96,38.96
istockphoto-1400453203-612x612.jpg,0.6949,0.5508,0.4468,3,4,3,1045.49,617.37,677.8,7.96,38.96
istockphoto-1473375455-612x612.jpg,0.7485,0.3664,0.2431,5,5,7,675.31,330.65,152.97,7.58,29.88
istockphoto-1473375455-612x612.jpg,0.7485,0.3664,0.2431,5,5,7,675.31,330.65,152.97,7.58,29.88
istockphoto-1498024534-612x612.jpg,0.6704,0.5635,0.2547,3,3,2,955.94,811.03,544.56,7.0,36.07
istockphoto-1498024534-612x612.jpg,0.6704,0.5635,0.2547,3,3,2,955.94,811.03,544.56,7.0,36.07
istockphoto-1606733996-612x612.jpg,0.7733,0.4101,0.2435,13,10,7,276.86,197.44,160.58,9.24,41.17
istockphoto-1606733996-612x612.jpg,0.7733,0.4101,0.2435,13,10,7,276.86,197.44,160.58,9.24,41.17
istockphoto-2148796316-612x612.jpg,0.5786,0.4795,0.3033,7,6,4,581.75,565.04,547.62,8.2,38.1
istockphoto-2148796316-612x612.jpg,0.5786,0.4795,0.3033,7,6,4,581.75,565.04,547.62,8.2,38.1
istockphoto-2149491226-612x612.jpg,0.7211,0.6053,0.4189,4,3,4,1187.64,1322.41,667.37,11.67,43.15
