Nama_File,Contrast,Correlation,Energy,Homogeneity,Dissimilarity,Entropy,FFT_Mean,FFT_Std,Gabor_Mean
istockphoto-1019837036-612x612.jpg,3395.29,0.2697351037436988,0.4080769060621776,0.01,58.27,3.47,3191.64,111758.53,0.0
istockphoto-1019837036-612x612.jpg,3395.29,0.2697351037436988,0.4080769060621776,0.01,58.27,3.47,3191.64,111758.53,0.0
istockphoto-1149286249-612x612.jpg,1468.44,0.1634325387493053,0.4933386094333803,0.0,38.32,2.87,3076.82,145367.59,0.0
istockphoto-1149286249-612x612.jpg,1468.44,0.1634325387493053,0.4933386094333803,0.0,38.32,2.87,3076.82,145367.59,0.0
istockphoto-1171367229-612x612.jpg,1284.23,0.155587160658285,0.2481698156367876,0.0,35.84,4.29,2422.95,127103.24,0.0
istockphoto-1171367229-612x612.jpg,1284.23,0.155587160658285,0.2481698156367876,0.0,35.84,4.29,2422.95,127103.24,0.0
istockphoto-1171367243-612x612.jpg,1500.33,0.1690685925333811,0.3802724441588133,0.0,38.73,3.6,2927.02,131422.54,0.0
istockphoto-1171367243-612x612.jpg,1500.33,0.1690685925333811,0.3802724441588133,0.0,38.73,3.6,2927.02,131422.54,0.0
istockphoto-1195116522-612x612.jpg,3537.81,0.265633277970084,0.1092840492462518,0.01,59.48,4.99,3948.26,115702.66,0.04
istockphoto-1195116522-612x612.jpg,3537.81,0.265633277970084,0.1092840492462518,0.01,59.48,4.99,3948.26,115702.66,0.04
istockphoto-1195116554-612x612.jpg,2029.52,0.1975075573200124,0.1167334334054504,0.0,45.05,4.75,3636.48,116122.15,-0.01
istockphoto-1195116554-612x612.jpg,2029.52,0.1975075573200124,0.1167334334054504,0.0,45.05,4.75,3636.48,116122.15,-0.01
istockphoto-1195117589-612x612.jpg,1594.96,0.1696187002162455,0.147397492046471,0.0,39.94,4.31,3523.09,119282.64,0.01
istockphoto-1195117589-612x612.jpg,1594.96,0.1696187002162455,0.147397492046471,0.0,39.94,4.31,3523.09,119282.64,0.01
istockphoto-1195117744-612x612.jpg,2478.47,0.2185329142962369,0.1131343901740585,0.01,49.78,4.83,3453.16,116471.74,-0.03
istockphoto-1195117744-612x612.jpg,2478.47,0.2185329142962369,0.1131343901740585,0.01,49.78,4.83,3453.16,116471.74,-0.03
istockphoto-1195117749-612x612.jpg,1107.29,0.1359159223211926,0.5721882121103191,0.0,33.28,2.22,2874.06,123430.56,0.0
istockphoto-1195117749-612x612.jpg,1107.29,0.1359159223211926,0.5721882121103191,0.0,33.28,2.22,2874.06,123430.56,0.0
istockphoto-1195117759-612x612.jpg,1661.88,0.1771805176060058,0.0879031794498583,0.0,40.77,5.09,2753.32,116729.53,0.0
istockphoto-1195117759-612x612.jpg,1661.88,0.1771805176060058,0.0879031794498583,0.0,40.77,5.09,2753.32,116729.53,0.0
istockphoto-119597188-612x612.jpg,3363.91,0.2705103237933193,0.2814654803546787,0.01,58.0,4.58,5935.5,113521.67,0.0
istockphoto-119597188-612x612.jpg,3363.91,0.2705103237933193,0.2814654803546787,0.01,58.0,4.58,5935.5,113521.67,0.0
istockphoto-1197428679-612x612.jpg,3246.86,0.2541452453942668,0.1505858456639906,0.01,56.98,4.65,3846.13,115532.99,-0.02
istockphoto-1197428679-612x612.jpg,3246.86,0.2541452453942668,0.1505858456639906,0.01,56.98,4.65,3846.13,115532.99,-0.02
istockphoto-1206575305-612x612.jpg,2875.29,0.2387795603506574,0.3759846901348566,0.0,53.62,3.64,3289.07,113180.91,0.0
istockphoto-1206575305-612x612.jpg,2875.29,0.2387795603506574,0.3759846901348566,0.0,53.62,3.64,3289.07,113180.91,0.0
istockphoto-1206825656-612x612.jpg,1916.59,0.1864806869891256,0.1747417026219094,0.0,43.78,3.85,2941.4,119296.51,-0.03
istockphoto-1206825656-612x612.jpg,1916.59,0.1864806869891256,0.1747417026219094,0.0,43.78,3.85,2941.4,119296.51,-0.03
istockphoto-1209795414-612x612.jpg,1102.35,0.139176361652252,0.5922288810318813,0.0,33.2,2.35,2383.12,120331.7,0.0
istockphoto-1209795414-612x612.jpg,1102.35,0.139176361652252,0.5922288810318813,0.0,33.2,2.35,2383.12,120331.7,0.0
istockphoto-1214491990-612x612.jpg,663.91,0.1060443387716526,0.5793388842168314,0.0,25.77,2.23,2167.98,149521.14,0.0
istockphoto-1214491990-612x612.jpg,663.91,0.1060443387716526,0.5793388842168314,0.0,25.77,2.23,2167.98,149521.14,0.0
istockphoto-1220524504-612x612.jpg,1213.76,0.1485577394616266,0.4570494699960894,0.0,34.84,3.02,2503.12,118446.15,0.0
istockphoto-1220524504-612x612.jpg,1213.76,0.1485577394616266,0.4570494699960894,0.0,34.84,3.02,2503.12,118446.15,0.0
istockphoto-1220524506-612x612.jpg,1239.98,0.1483821989566337,0.4425122552573847,0.0,35.21,3.16,2698.49,119853.37,0.0
istockphoto-1220524506-612x612.jpg,1239.98,0.1483821989566337,0.4425122552573847,0.0,35.21,3.16,2698.49,119853.37,0.0
istockphoto-1220993696-612x612.jpg,2904.8,0.246699952754452,0.3655077420521759,0.01,53.9,3.87,3679.8,126763.56,0.0
istockphoto-1220993696-612x612.jpg,2904.8,0.246699952754452,0.3655077420521759,0.01,53.9,3.87,3679.8,126763.56,0.0
istockphoto-1223382354-612x612.jpg,1979.72,0.2005277542562164,0.361998790354773,0.0,44.49,3.58,1816.24,114582.09,0.0
istockphoto-1223382354-612x612.jpg,1979.72,0.2005277542562164,0.361998790354773,0.0,44.49,3.58,1816.24,114582.09,0.0
istockphoto-1223746290-612x612.jpg,1422.97,0.1612408434947486,0.5336821952398417,0.0,37.72,2.6,1751.58,122397.1,-0.0
istockphoto-1223746290-612x612.jpg,1422.97,0.1612408434947486,0.5336821952398417,0.0,37.72,2.6,1751.58,122397.1,-0.0
istockphoto-1225492835-612x612.jpg,1368.17,0.1524579367806922,0.7151446034057686,0.0,36.99,1.68,3647.95,143627.91,0.0
istockphoto-1225492835-612x612.jpg,1368.17,0.1524579367806922,0.7151446034057686,0.0,36.99,1.68,3647.95,143627.91,0.0
istockphoto-1253272655-612x612.jpg,1448.07,0.1662230205174633,0.3524903859987248,0.0,38.05,3.74,2551.56,115937.26,0.01
istockphoto-1253272655-612x612.jpg,1448.07,0.1662230205174633,0.3524903859987248,0.0,38.05,3.74,2551.56,115937.26,0.01
istockphoto-1272230724-612x612.jpg,1085.15,0.1370448472031696,0.1497678194177392,0.0,32.94,4.09,2572.23,121208.06,-0.02
istockphoto-1272230724-612x612.jpg,1085.15,0.1370448472031696,0.1497678194177392,0.0,32.94,4.09,2572.23,121208.06,-0.02
istockphoto-1312182523-612x612.jpg,3004.66,0.2484657575665648,0.3896229397489523,0.01,54.81,3.81,2009.94,123703.12,0.0
istockphoto-1312182523-612x612.jpg,3004.66,0.2484657575665648,0.3896229397489523,0.01,54.81,3.81,2009.94,123703.12,0.0
