Nama_File,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Mean_H,Mean_S,Mean_V,Std_H,Std_S,Std_V,Skew_R,Skew_G,Skew_B,Kurt_R,Kurt_G,Kurt_B
istockphoto-1008429106-612x612.jpg,224.29,221.77,205.57,55.31,54.27,77.91,18.6,34.61,229.35,30.01,63.27,47.04,-1.8,-1.47,-1.25,2.15,1.0,0.06
istockphoto-1008429106-612x612.jpg,224.29,221.77,205.57,55.31,54.27,77.91,18.6,34.61,229.35,30.01,63.27,47.04,-1.8,-1.47,-1.25,2.15,1.0,0.06
istockphoto-1132807691-612x612.jpg,201.99,193.94,175.54,67.66,75.64,95.57,15.02,57.07,204.59,23.63,75.65,64.56,-0.8,-0.67,-0.53,-0.85,-1.19,-1.48
istockphoto-1132807691-612x612.jpg,201.99,193.94,175.54,67.66,75.64,95.57,15.02,57.07,204.59,23.63,75.65,64.56,-0.8,-0.67,-0.53,-0.85,-1.19,-1.48
istockphoto-1132807783-612x612.jpg,214.15,207.7,194.07,62.88,70.42,88.28,12.58,41.03,216.31,22.91,66.04,59.68,-1.2,-1.05,-0.91,-0.01,-0.53,-0.95
istockphoto-1132807783-612x612.jpg,214.15,207.7,194.07,62.88,70.42,88.28,12.58,41.03,216.31,22.91,66.04,59.68,-1.2,-1.05,-0.91,-0.01,-0.53,-0.95
istockphoto-120521928-612x612.jpg,217.01,213.21,194.66,57.12,58.47,82.5,24.33,41.43,220.1,36.13,66.12,53.37,-1.42,-1.18,-0.93,0.91,0.21,-0.72
istockphoto-120521928-612x612.jpg,217.01,213.21,194.66,57.12,58.47,82.5,24.33,41.43,220.1,36.13,66.12,53.37,-1.42,-1.18,-0.93,0.91,0.21,-0.72
istockphoto-121158297-612x612.jpg,218.59,212.8,198.47,55.82,61.08,80.27,12.4,35.15,218.89,23.89,58.38,55.4,-1.27,-1.06,-0.96,0.31,-0.32,-0.69
istockphoto-121158297-612x612.jpg,218.59,212.8,198.47,55.82,61.08,80.27,12.4,35.15,218.89,23.89,58.38,55.4,-1.27,-1.06,-0.96,0.31,-0.32,-0.69
istockphoto-1255490998-612x612.jpg,219.14,216.53,201.81,62.09,63.82,84.24,24.25,38.21,221.7,38.75,68.18,59.13,-1.73,-1.57,-1.24,1.88,1.27,-0.09
istockphoto-1255490998-612x612.jpg,219.14,216.53,201.81,62.09,63.82,84.24,24.25,38.21,221.7,38.75,68.18,59.13,-1.73,-1.57,-1.24,1.88,1.27,-0.09
istockphoto-1293845097-612x612.jpg,234.38,228.18,211.31,45.78,48.05,75.45,12.07,30.71,236.02,22.8,63.69,42.21,-2.28,-1.64,-1.42,4.08,1.46,0.5
istockphoto-1293845097-612x612.jpg,234.38,228.18,211.31,45.78,48.05,75.45,12.07,30.71,236.02,22.8,63.69,42.21,-2.28,-1.64,-1.42,4.08,1.46,0.5
istockphoto-135729530-612x612.jpg,217.45,213.16,203.46,65.68,70.54,82.56,11.81,32.15,218.54,24.87,58.68,64.35,-1.61,-1.47,-1.24,1.25,0.73,-0.09
istockphoto-135729530-612x612.jpg,217.45,213.16,203.46,65.68,70.54,82.56,11.81,32.15,218.54,24.87,58.68,64.35,-1.61,-1.47,-1.24,1.25,0.73,-0.09
istockphoto-1366787876-612x612.jpg,226.86,224.73,212.21,59.55,62.01,84.88,7.83,32.87,227.64,18.3,70.56,58.0,-1.94,-1.81,-1.61,2.3,1.74,0.79
istockphoto-1366787876-612x612.jpg,226.86,224.73,212.21,59.55,62.01,84.88,7.83,32.87,227.64,18.3,70.56,58.0,-1.94,-1.81,-1.61,2.3,1.74,0.79
istockphoto-144231660-612x612.jpg,226.33,220.37,206.45,54.86,61.19,83.44,10.06,35.59,226.74,22.82,69.55,54.14,-1.91,-1.58,-1.38,2.5,1.16,0.24
istockphoto-144231660-612x612.jpg,226.33,220.37,206.45,54.86,61.19,83.44,10.06,35.59,226.74,22.82,69.55,54.14,-1.91,-1.58,-1.38,2.5,1.16,0.24
istockphoto-144871786-612x612.jpg,207.41,195.05,180.55,64.44,76.64,93.78,27.05,55.82,208.27,42.19,82.64,64.06,-1.32,-1.02,-0.84,0.44,-0.51,-1.01
istockphoto-144871786-612x612.jpg,207.41,195.05,180.55,64.44,76.64,93.78,27.05,55.82,208.27,42.19,82.64,64.06,-1.32,-1.02,-0.84,0.44,-0.51,-1.01
istockphoto-152953394-612x612.jpg,220.82,220.58,207.06,56.49,56.24,78.34,23.68,30.63,222.83,38.3,58.07,54.09,-1.49,-1.46,-1.32,0.87,0.81,0.17
istockphoto-152953394-612x612.jpg,220.82,220.58,207.06,56.49,56.24,78.34,23.68,30.63,222.83,38.3,58.07,54.09,-1.49,-1.46,-1.32,0.87,0.81,0.17
istockphoto-152985782-612x612.jpg,228.43,224.21,215.18,54.83,61.34,74.82,23.56,27.78,230.34,26.73,57.99,51.53,-2.1,-1.9,-1.69,3.37,2.3,1.29
istockphoto-152985782-612x612.jpg,228.43,224.21,215.18,54.83,61.34,74.82,23.56,27.78,230.34,26.73,57.99,51.53,-2.1,-1.9,-1.69,3.37,2.3,1.29
istockphoto-152995139-612x612.jpg,216.65,209.7,189.13,59.3,65.34,90.55,14.29,51.34,220.56,24.8,76.16,53.57,-1.24,-1.05,-0.82,0.01,-0.38,-1.06
istockphoto-152995139-612x612.jpg,216.65,209.7,189.13,59.3,65.34,90.55,14.29,51.34,220.56,24.8,76.16,53.57,-1.24,-1.05,-0.82,0.01,-0.38,-1.06
istockphoto-155135289-612x612.jpg,219.39,214.64,199.77,59.76,64.7,85.28,14.07,39.04,221.87,23.86,69.91,55.91,-1.54,-1.37,-1.17,1.18,0.57,-0.24
