Nama_File,Canny_Edge_Density_Low,Canny_Edge_Density_Medium,Canny_Edge_Density_High,Canny_Contour_Count_Low,Canny_Contour_Count_Medium,Canny_Contour_Count_High,Canny_Avg_Contour_Length_Low,Canny_Avg_Contour_Length_Medium,Canny_Avg_Contour_Length_High,Sobel_Mean,Sobel_Std
istockphoto-1008429106-612x612.jpg,6.7036,4.4146,2.5861,242,181,148,106.59,92.08,64.51,46.03,88.27
istockphoto-1008429106-612x612.jpg,6.7036,4.4146,2.5861,242,181,148,106.59,92.08,64.51,46.03,88.27
istockphoto-1132807691-612x612.jpg,8.0009,5.0819,3.3143,324,201,135,93.35,93.39,89.14,60.29,104.82
istockphoto-1132807691-612x612.jpg,8.0009,5.0819,3.3143,324,201,135,93.35,93.39,89.14,60.29,104.82
istockphoto-1132807783-612x612.jpg,6.4296,4.1442,2.4639,254,185,121,104.79,90.59,81.37,47.41,96.01
istockphoto-1132807783-612x612.jpg,6.4296,4.1442,2.4639,254,185,121,104.79,90.59,81.37,47.41,96.01
istockphoto-120521928-612x612.jpg,7.5225,6.1213,3.9966,254,236,214,105.52,91.21,64.2,61.87,113.41
istockphoto-120521928-612x612.jpg,7.5225,6.1213,3.9966,254,236,214,105.52,91.21,64.2,61.87,113.41
istockphoto-121158297-612x612.jpg,6.7659,4.5423,2.7408,287,222,167,102.36,87.27,67.35,52.8,99.39
istockphoto-121158297-612x612.jpg,6.7659,4.5423,2.7408,287,222,167,102.36,87.27,67.35,52.8,99.39
istockphoto-1255490998-612x612.jpg,6.7705,5.7055,4.2079,360,293,249,80.3,82.47,70.8,56.5,110.3
istockphoto-1255490998-612x612.jpg,6.7705,5.7055,4.2079,360,293,249,80.3,82.47,70.8,56.5,110.3
istockphoto-1293845097-612x612.jpg,5.5195,3.9128,2.3677,196,169,141,127.65,103.29,73.15,38.5,82.93
istockphoto-1293845097-612x612.jpg,5.5195,3.9128,2.3677,196,169,141,127.65,103.29,73.15,38.5,82.93
istockphoto-135729530-612x612.jpg,7.4702,6.0799,4.3034,415,346,324,81.23,78.19,57.87,64.16,124.3
istockphoto-135729530-612x612.jpg,7.4702,6.0799,4.3034,415,346,324,81.23,78.19,57.87,64.16,124.3
istockphoto-1366787876-612x612.jpg,4.3124,2.9584,1.7405,223,169,144,86.92,77.5,51.9,31.11,75.49
istockphoto-1366787876-612x612.jpg,4.3124,2.9584,1.7405,223,169,144,86.92,77.5,51.9,31.11,75.49
istockphoto-144231660-612x612.jpg,5.8563,4.6064,3.0129,323,250,221,81.44,81.69,58.54,46.65,100.63
istockphoto-144231660-612x612.jpg,5.8563,4.6064,3.0129,323,250,221,81.44,81.69,58.54,46.65,100.63
istockphoto-144871786-612x612.jpg,8.9238,7.0205,4.7479,491,386,353,80.79,79.83,57.54,73.51,129.13
istockphoto-144871786-612x612.jpg,8.9238,7.0205,4.7479,491,386,353,80.79,79.83,57.54,73.51,129.13
istockphoto-152953394-612x612.jpg,5.719,4.0866,2.3661,252,196,153,101.62,91.81,66.49,44.96,92.88
istockphoto-152953394-612x612.jpg,5.719,4.0866,2.3661,252,196,153,101.62,91.81,66.49,44.96,92.88
istockphoto-152985782-612x612.jpg,5.1311,4.354,3.1026,247,228,205,93.15,84.2,64.94,44.57,111.27
istockphoto-152985782-612x612.jpg,5.1311,4.354,3.1026,247,228,205,93.15,84.2,64.94,44.57,111.27
istockphoto-152995139-612x612.jpg,7.7665,5.4334,3.1965,347,292,242,102.83,83.87,57.68,58.73,105.16
istockphoto-152995139-612x612.jpg,7.7665,5.4334,3.1965,347,292,242,102.83,83.87,57.68,58.73,105.16
istockphoto-155135289-612x612.jpg,6.3557,4.8311,3.1578,337,256,215,84.84,83.85,63.53,52.71,107.47
istockphoto-155135289-612x612.jpg,6.3557,4.8311,3.1578,337,256,215,84.84,83.85,63.53,52.71,107.47
istockphoto-172923656-612x612.jpg,6.6654,4.5021,2.5275,284,230,155,106.58,86.31,69.58,49.82,101.85
istockphoto-172923656-612x612.jpg,6.6654,4.5021,2.5275,284,230,155,106.58,86.31,69.58,49.82,101.85
istockphoto-172932390-612x612.jpg,7.1243,5.8531,4.0581,319,269,257,99.49,95.93,67.88,58.91,112.05
istockphoto-172932390-612x612.jpg,7.1243,5.8531,4.0581,319,269,257,99.49,95.93,67.88,58.91,112.05
istockphoto-173935152-612x612.jpg,7.407,5.8499,4.1074,331,249,238,99.43,102.68,73.29,60.71,120.41
istockphoto-173935152-612x612.jpg,7.407,5.8499,4.1074,331,249,238,99.43,102.68,73.29,60.71,120.41
istockphoto-174841598-612x612.jpg,7.5364,5.1723,2.9792,300,261,189,112.32,86.64,67.07,56.43,103.14
