Nama_File,GLCM_Contrast,GLCM_Dissimilarity,GLCM_Homogeneity,GLCM_Energy,GLCM_Correlation,GLCM_ASM,GLCM_Contrast_0deg,GLCM_Homogeneity_0deg,GLCM_Energy_0deg,GLCM_Contrast_45deg,GLCM_Homogeneity_45deg,GLCM_Energy_45deg,GLCM_Contrast_90deg,GLCM_Homogeneity_90deg,GLCM_Energy_90deg,GLCM_Contrast_135deg,GLCM_Homogeneity_135deg,GLCM_Energy_135deg
istockphoto-1008429106-612x612.jpg,3.0184,0.6972,0.8022,0.648,0.9668,0.4199,2.4611,0.8065,0.6493,4.0378,0.7884,0.6459,1.9858,0.8251,0.6501,3.589,0.7886,0.6466
istockphoto-1008429106-612x612.jpg,3.0184,0.6972,0.8022,0.648,0.9668,0.4199,2.4611,0.8065,0.6493,4.0378,0.7884,0.6459,1.9858,0.8251,0.6501,3.589,0.7886,0.6466
istockphoto-1132807691-612x612.jpg,4.4995,0.9208,0.7468,0.5465,0.9729,0.2986,3.4764,0.7575,0.5477,5.6866,0.733,0.5446,3.2001,0.7679,0.5491,5.6347,0.7288,0.5445
istockphoto-1132807691-612x612.jpg,4.4995,0.9208,0.7468,0.5465,0.9729,0.2986,3.4764,0.7575,0.5477,5.6866,0.733,0.5446,3.2001,0.7679,0.5491,5.6347,0.7288,0.5445
istockphoto-1132807783-612x612.jpg,3.5063,0.7211,0.8017,0.641,0.9755,0.4109,2.7716,0.8101,0.6418,4.663,0.7896,0.6396,2.4119,0.8189,0.6431,4.1788,0.7883,0.6395
istockphoto-1132807783-612x612.jpg,3.5063,0.7211,0.8017,0.641,0.9755,0.4109,2.7716,0.8101,0.6418,4.663,0.7896,0.6396,2.4119,0.8189,0.6431,4.1788,0.7883,0.6395
istockphoto-120521928-612x612.jpg,5.4504,0.9752,0.7607,0.5569,0.9478,0.3102,4.5736,0.7701,0.558,6.7052,0.745,0.5548,3.7185,0.7807,0.56,6.8044,0.747,0.555
istockphoto-120521928-612x612.jpg,5.4504,0.9752,0.7607,0.5569,0.9478,0.3102,4.5736,0.7701,0.558,6.7052,0.745,0.5548,3.7185,0.7807,0.56,6.8044,0.747,0.555
istockphoto-121158297-612x612.jpg,4.2304,0.8411,0.7771,0.616,0.9614,0.3795,3.3641,0.7865,0.617,5.01,0.7659,0.6148,3.198,0.7909,0.618,5.3494,0.7653,0.6142
istockphoto-121158297-612x612.jpg,4.2304,0.8411,0.7771,0.616,0.9614,0.3795,3.3641,0.7865,0.617,5.01,0.7659,0.6148,3.198,0.7909,0.618,5.3494,0.7653,0.6142
