Nama_File,Hue_1,Warna_1,Hue_2,Warna_2,Hue_3,Warna_3
istockphoto-1008429106-612x612.jpg,17.0,Oranye,,,,
istockphoto-1008429106-612x612.jpg,17.0,Oranye,,,,
istockphoto-1132807691-612x612.jpg,13.0,Oranye,,,,
istockphoto-1132807691-612x612.jpg,13.0,Oranye,,,,
istockphoto-1132807783-612x612.jpg,13.0,Oranye,,,,
istockphoto-1132807783-612x612.jpg,13.0,Oranye,,,,
istockphoto-120521928-612x612.jpg,20.0,Oranye,,,,
istockphoto-120521928-612x612.jpg,20.0,Oranye,,,,
istockphoto-121158297-612x612.jpg,27.33,Kuning,23.0,Oranye,,
istockphoto-121158297-612x612.jpg,27.33,Kuning,23.0,Oranye,,
istockphoto-1255490998-612x612.jpg,21.0,Oranye,40.0,Hijau,,
istockphoto-1255490998-612x612.jpg,21.0,Oranye,40.0,Hijau,,
istockphoto-1293845097-612x612.jpg,19.0,Oranye,,,,
istockphoto-1293845097-612x612.jpg,19.0,Oranye,,,,
istockphoto-135729530-612x612.jpg,16.0,Oranye,,,,
istockphoto-135729530-612x612.jpg,16.0,Oranye,,,,
istockphoto-1366787876-612x612.jpg,26.0,Kuning,35.5,Hijau,,
istockphoto-1366787876-612x612.jpg,26.0,Kuning,35.5,Hijau,,
istockphoto-144231660-612x612.jpg,18.0,Oranye,35.0,Hijau,33.0,Kuning
istockphoto-144231660-612x612.jpg,18.0,Oranye,35.0,Hijau,33.0,Kuning
istockphoto-144871786-612x612.jpg,14.0,Oranye,,,,
istockphoto-144871786-612x612.jpg,14.0,Oranye,,,,
istockphoto-152953394-612x612.jpg,36.75,Hijau,29.0,Kuning,,
istockphoto-152953394-612x612.jpg,36.75,Hijau,29.0,Kuning,,
istockphoto-152985782-612x612.jpg,13.0,Oranye,,,,
istockphoto-152985782-612x612.jpg,13.0,Oranye,,,,
istockphoto-152995139-612x612.jpg,15.0,Oranye,,,,
istockphoto-152995139-612x612.jpg,15.0,Oranye,,,,
