Nama_File,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Mean_H,Mean_S,Mean_V,Std_H,Std_S,Std_V,Skew_R,Skew_G,Skew_B,Kurt_R,Kurt_G,Kurt_B
istockphoto-1063364654-612x612.jpg,245.24,240.93,184.7,18.03,24.54,95.94,11.84,68.15,245.27,17.59,93.74,18.04,-3.44,-3.01,-0.77,18.75,13.69,-1.23
istockphoto-1063364654-612x612.jpg,245.24,240.93,184.7,18.03,24.54,95.94,11.84,68.15,245.27,17.59,93.74,18.04,-3.44,-3.01,-0.77,18.75,13.69,-1.23
istockphoto-1076679510-612x612.jpg,242.36,225.43,196.56,22.1,43.65,79.67,8.53,53.45,242.39,13.91,73.64,22.11,-2.12,-1.23,-0.79,5.98,0.26,-1.16
istockphoto-1076679510-612x612.jpg,242.36,225.43,196.56,22.1,43.65,79.67,8.53,53.45,242.39,13.91,73.64,22.11,-2.12,-1.23,-0.79,5.98,0.26,-1.16
istockphoto-1087019400-612x612.jpg,239.24,239.32,228.26,38.84,38.23,63.52,6.05,19.06,239.85,15.79,48.15,37.33,-2.37,-2.39,-2.13,4.24,4.59,2.82
istockphoto-1087019400-612x612.jpg,239.24,239.32,228.26,38.84,38.23,63.52,6.05,19.06,239.85,15.79,48.15,37.33,-2.37,-2.39,-2.13,4.24,4.59,2.82
istockphoto-1087020114-612x612.jpg,228.23,228.64,203.95,41.48,40.73,76.43,13.52,37.26,229.58,22.92,60.72,39.43,-1.28,-1.36,-1.0,0.3,0.89,-0.8
istockphoto-1087020114-612x612.jpg,228.23,228.64,203.95,41.48,40.73,76.43,13.52,37.26,229.58,22.92,60.72,39.43,-1.28,-1.36,-1.0,0.3,0.89,-0.8
istockphoto-1087030692-612x612.jpg,242.35,242.56,227.78,33.12,32.35,67.28,5.79,22.82,242.99,14.5,59.42,31.41,-2.67,-2.76,-2.27,6.08,7.11,3.46
istockphoto-1087030692-612x612.jpg,242.35,242.56,227.78,33.12,32.35,67.28,5.79,22.82,242.99,14.5,59.42,31.41,-2.67,-2.76,-2.27,6.08,7.11,3.46
istockphoto-1095545676-612x612.jpg,224.81,231.83,174.63,43.96,34.21,93.55,18.06,73.14,232.23,20.49,88.65,33.38,-1.76,-1.76,-0.56,3.2,3.12,-1.37
istockphoto-1095545676-612x612.jpg,224.81,231.83,174.63,43.96,34.21,93.55,18.06,73.14,232.23,20.49,88.65,33.38,-1.76,-1.76,-0.56,3.2,3.12,-1.37
istockphoto-1129868297-612x612.jpg,247.02,237.98,196.16,16.3,26.81,83.03,9.7,56.07,247.04,16.05,79.47,16.3,-5.04,-2.16,-0.76,41.1,9.07,-1.33
istockphoto-1129868297-612x612.jpg,247.02,237.98,196.16,16.3,26.81,83.03,9.7,56.07,247.04,16.05,79.47,16.3,-5.04,-2.16,-0.76,41.1,9.07,-1.33
istockphoto-1132339646-612x612.jpg,243.81,240.72,203.6,21.01,28.48,88.47,8.33,49.42,245.98,16.78,85.82,16.76,-1.85,-2.34,-1.28,2.85,5.38,-0.17
istockphoto-1132339646-612x612.jpg,243.81,240.72,203.6,21.01,28.48,88.47,8.33,49.42,245.98,16.78,85.82,16.76,-1.85,-2.34,-1.28,2.85,5.38,-0.17
istockphoto-1133583592-612x612.jpg,237.38,226.94,183.29,26.39,38.34,91.35,10.85,66.52,237.41,16.09,84.76,26.41,-1.7,-1.04,-0.57,4.33,0.36,-1.57
istockphoto-1133583592-612x612.jpg,237.38,226.94,183.29,26.39,38.34,91.35,10.85,66.52,237.41,16.09,84.76,26.41,-1.7,-1.04,-0.57,4.33,0.36,-1.57
istockphoto-1134196638-612x612.jpg,249.6,240.17,199.08,12.94,23.29,79.24,9.55,53.94,249.62,15.65,76.65,12.94,-5.96,-2.07,-0.8,52.42,8.03,-1.2
istockphoto-1134196638-612x612.jpg,249.6,240.17,199.08,12.94,23.29,79.24,9.55,53.94,249.62,15.65,76.65,12.94,-5.96,-2.07,-0.8,52.42,8.03,-1.2
istockphoto-1135477663-612x612.jpg,224.41,221.63,163.38,39.71,42.86,113.26,12.62,87.2,224.91,18.34,111.49,39.07,-0.92,-0.96,-0.5,-0.2,0.37,-1.66
istockphoto-1135477663-612x612.jpg,224.41,221.63,163.38,39.71,42.86,113.26,12.62,87.2,224.91,18.34,111.49,39.07,-0.92,-0.96,-0.5,-0.2,0.37,-1.66
istockphoto-1185499614-612x612.jpg,242.62,227.77,203.39,24.46,46.34,83.7,7.09,47.77,242.65,15.36,78.7,24.46,-3.0,-1.52,-1.14,13.91,1.32,-0.49
istockphoto-1185499614-612x612.jpg,242.62,227.77,203.39,24.46,46.34,83.7,7.09,47.77,242.65,15.36,78.7,24.46,-3.0,-1.52,-1.14,13.91,1.32,-0.49
istockphoto-1226207985-612x612.jpg,233.9,228.29,179.56,31.89,38.8,106.74,10.45,72.52,233.94,16.47,104.13,31.83,-1.19,-0.99,-0.78,0.16,-0.56,-1.3
istockphoto-1226207985-612x612.jpg,233.9,228.29,179.56,31.89,38.8,106.74,10.45,72.52,233.94,16.47,104.13,31.83,-1.19,-0.99,-0.78,0.16,-0.56,-1.3
istockphoto-123692448-612x612.jpg,235.59,234.02,202.5,32.61,36.55,90.07,8.56,46.78,235.72,15.85,86.37,32.5,-1.72,-2.04,-1.37,2.6,4.82,0.12
istockphoto-123692448-612x612.jpg,235.59,234.02,202.5,32.61,36.55,90.07,8.56,46.78,235.72,15.85,86.37,32.5,-1.72,-2.04,-1.37,2.6,4.82,0.12
istockphoto-1279302542-612x612.jpg,245.44,241.34,209.6,25.34,28.93,85.0,7.69,43.05,246.03,16.18,81.81,22.93,-3.54,-2.43,-1.48,14.24,5.99,0.43
istockphoto-1279302542-612x612.jpg,245.44,241.34,209.6,25.34,28.93,85.0,7.69,43.05,246.03,16.18,81.81,22.93,-3.54,-2.43,-1.48,14.24,5.99,0.43
istockphoto-1301925621-612x612.jpg,234.12,234.22,190.17,30.53,32.37,90.47,12.55,58.18,236.14,17.6,84.17,28.5,-1.26,-1.66,-0.81,0.68,2.72,-1.18
istockphoto-1301925621-612x612.jpg,234.12,234.22,190.17,30.53,32.37,90.47,12.55,58.18,236.14,17.6,84.17,28.5,-1.26,-1.66,-0.81,0.68,2.72,-1.18
