Nama_File,Canny_Edge_Density_Low,Canny_Edge_Density_Medium,Canny_Edge_Density_High,Canny_Contour_Count_Low,Canny_Contour_Count_Medium,Canny_Contour_Count_High,Canny_Avg_Contour_Length_Low,Canny_Avg_Contour_Length_Medium,Canny_Avg_Contour_Length_High,Sobel_Mean,Sobel_Std
istockphoto-1063364654-612x612.jpg,0.4965,0.1922,0.1485,13,8,4,212.82,133.82,206.91,10.41,27.6
istockphoto-1063364654-612x612.jpg,0.4965,0.1922,0.1485,13,8,4,212.82,133.82,206.91,10.41,27.6
istockphoto-1076679510-612x612.jpg,0.5901,0.3512,0.3144,7,6,6,477.26,337.58,301.88,15.44,35.99
istockphoto-1076679510-612x612.jpg,0.5901,0.3512,0.3144,7,6,6,477.26,337.58,301.88,15.44,35.99
istockphoto-1087019400-612x612.jpg,0.4477,0.3016,0.2835,4,3,3,468.97,411.79,389.6,8.18,30.48
istockphoto-1087019400-612x612.jpg,0.4477,0.3016,0.2835,4,3,3,468.97,411.79,389.6,8.18,30.48
istockphoto-1087020114-612x612.jpg,0.5519,0.4906,0.3913,8,7,6,291.87,289.31,259.31,13.66,33.37
istockphoto-1087020114-612x612.jpg,0.5519,0.4906,0.3913,8,7,6,291.87,289.31,259.31,13.66,33.37
istockphoto-1087030692-612x612.jpg,0.4694,0.2912,0.2603,7,6,4,292.01,206.95,276.36,8.77,31.44
istockphoto-1087030692-612x612.jpg,0.4694,0.2912,0.2603,7,6,4,292.01,206.95,276.36,8.77,31.44
istockphoto-1095545676-612x612.jpg,0.6327,0.4171,0.3019,11,6,5,302.67,365.16,319.67,17.25,39.54
istockphoto-1095545676-612x612.jpg,0.6327,0.4171,0.3019,11,6,5,302.67,365.16,319.67,17.25,39.54
istockphoto-1129868297-612x612.jpg,0.6729,0.5333,0.2701,7,6,4,587.85,528.72,404.81,11.81,37.28
istockphoto-1129868297-612x612.jpg,0.6729,0.5333,0.2701,7,6,4,587.85,528.72,404.81,11.81,37.28
istockphoto-1132339646-612x612.jpg,0.4949,0.342,0.1505,2,3,2,1337.68,620.4,398.35,10.93,26.78
istockphoto-1132339646-612x612.jpg,0.4949,0.342,0.1505,2,3,2,1337.68,620.4,398.35,10.93,26.78
istockphoto-1133583592-612x612.jpg,0.5142,0.4332,0.2618,7,7,4,405.84,334.56,358.0,11.03,30.76
istockphoto-1133583592-612x612.jpg,0.5142,0.4332,0.2618,7,7,4,405.84,334.56,358.0,11.03,30.76
istockphoto-1134196638-612x612.jpg,0.5766,0.2236,0.1295,6,5,5,669.52,319.02,180.72,10.14,30.38
istockphoto-1134196638-612x612.jpg,0.5766,0.2236,0.1295,6,5,5,669.52,319.02,180.72,10.14,30.38
istockphoto-1135477663-612x612.jpg,0.6521,0.6085,0.5145,9,7,6,350.13,419.07,413.24,12.87,32.74
istockphoto-1135477663-612x612.jpg,0.6521,0.6085,0.5145,9,7,6,350.13,419.07,413.24,12.87,32.74
istockphoto-1185499614-612x612.jpg,0.6563,0.6178,0.5495,10,8,5,436.32,509.16,730.21,14.59,42.89
istockphoto-1185499614-612x612.jpg,0.6563,0.6178,0.5495,10,8,5,436.32,509.16,730.21,14.59,42.89
istockphoto-1226207985-612x612.jpg,0.4746,0.4412,0.2801,4,4,5,738.19,687.32,333.45,11.85,28.24
istockphoto-1226207985-612x612.jpg,0.4746,0.4412,0.2801,4,4,5,738.19,687.32,333.45,11.85,28.24
istockphoto-123692448-612x612.jpg,0.6467,0.4533,0.2752,10,6,6,400.63,469.55,285.7,12.15,37.8
istockphoto-123692448-612x612.jpg,0.6467,0.4533,0.2752,10,6,6,400.63,469.55,285.7,12.15,37.8
istockphoto-1279302542-612x612.jpg,0.7485,0.5471,0.3432,10,10,8,336.08,242.88,196.37,9.13,34.79
istockphoto-1279302542-612x612.jpg,0.7485,0.5471,0.3432,10,10,8,336.08,242.88,196.37,9.13,34.79
istockphoto-1301925621-612x612.jpg,0.5503,0.4156,0.1685,4,2,3,688.07,1034.45,280.84,10.38,28.58
istockphoto-1301925621-612x612.jpg,0.5503,0.4156,0.1685,4,2,3,688.07,1034.45,280.84,10.38,28.58
istockphoto-1326454417-612x612.jpg,0.3705,0.2936,0.1846,5,4,2,341.91,341.87,422.3,9.79,29.72
istockphoto-1326454417-612x612.jpg,0.3705,0.2936,0.1846,5,4,2,341.91,341.87,422.3,9.79,29.72
istockphoto-1366928819-612x612.jpg,0.7085,0.5204,0.3892,7,4,4,668.37,863.94,634.32,10.85,39.32
istockphoto-1366928819-612x612.jpg,0.7085,0.5204,0.3892,7,4,4,668.37,863.94,634.32,10.85,39.32
istockphoto-1393602097-612x612.jpg,0.8855,0.4277,0.1838,48,11,6,104.94,216.02,174.26,22.52,47.84
istockphoto-1393602097-612x612.jpg,0.8855,0.4277,0.1838,48,11,6,104.94,216.02,174.26,22.52,47.84
istockphoto-140477023-612x612.jpg,0.5522,0.374,0.2956,6,4,1,433.89,428.28,1318.06,12.58,39.49
istockphoto-140477023-612x612.jpg,0.5522,0.374,0.2956,6,4,1,433.89,428.28,1318.06,12.58,39.49
istockphoto-144292180-612x612.jpg,0.5659,0.3869,0.3348,10,8,6,251.32,216.36,249.54,12.44,44.38
istockphoto-144292180-612x612.jpg,0.5659,0.3869,0.3348,10,8,6,251.32,216.36,249.54,12.44,44.38
istockphoto-147083227-612x612.jpg,0.4922,0.436,0.3312,4,4,3,545.83,476.17,484.85,12.69,34.67
istockphoto-147083227-612x612.jpg,0.4922,0.436,0.3312,4,4,3,545.83,476.17,484.85,12.69,34.67
