Nama_File,GLCM_Contrast,GLCM_Dissimilarity,GLCM_Homogeneity,GLCM_Energy,GLCM_Correlation,GLCM_ASM,GLCM_Contrast_0deg,GLCM_Homogeneity_0deg,GLCM_Energy_0deg,GLCM_Contrast_45deg,GLCM_Homogeneity_45deg,GLCM_Energy_45deg,GLCM_Contrast_90deg,GLCM_Homogeneity_90deg,GLCM_Energy_90deg,GLCM_Contrast_135deg,GLCM_Homogeneity_135deg,GLCM_Energy_135deg
istockphoto-1063364654-612x612.jpg,0.3071,0.1543,0.9326,0.6252,0.9873,0.3908,0.2238,0.943,0.6264,0.3424,0.9233,0.6239,0.238,0.9411,0.6269,0.4242,0.923,0.6235
istockphoto-1063364654-612x612.jpg,0.3071,0.1543,0.9326,0.6252,0.9873,0.3908,0.2238,0.943,0.6264,0.3424,0.9233,0.6239,0.238,0.9411,0.6269,0.4242,0.923,0.6235
istockphoto-1076679510-612x612.jpg,0.5354,0.2408,0.8994,0.6187,0.9888,0.3828,0.482,0.91,0.6197,0.6967,0.8876,0.6173,0.3284,0.9112,0.6203,0.6345,0.8889,0.6176
istockphoto-1076679510-612x612.jpg,0.5354,0.2408,0.8994,0.6187,0.9888,0.3828,0.482,0.91,0.6197,0.6967,0.8876,0.6173,0.3284,0.9112,0.6203,0.6345,0.8889,0.6176
istockphoto-1087019400-612x612.jpg,0.3176,0.1219,0.9509,0.8241,0.9936,0.6792,0.2801,0.9571,0.8246,0.4958,0.9453,0.8235,0.1985,0.9555,0.8248,0.2959,0.9459,0.8237
istockphoto-1087019400-612x612.jpg,0.3176,0.1219,0.9509,0.8241,0.9936,0.6792,0.2801,0.9571,0.8246,0.4958,0.9453,0.8235,0.1985,0.9555,0.8248,0.2959,0.9459,0.8237
istockphoto-1087020114-612x612.jpg,0.4316,0.203,0.9139,0.6386,0.9926,0.4078,0.3633,0.924,0.6392,0.6736,0.9027,0.6373,0.291,0.9239,0.6401,0.3984,0.9049,0.6376
istockphoto-1087020114-612x612.jpg,0.4316,0.203,0.9139,0.6386,0.9926,0.4078,0.3633,0.924,0.6392,0.6736,0.9027,0.6373,0.291,0.9239,0.6401,0.3984,0.9049,0.6376
istockphoto-1087030692-612x612.jpg,0.342,0.1331,0.9474,0.835,0.9911,0.6972,0.2604,0.9528,0.8354,0.5298,0.9418,0.8343,0.2549,0.9522,0.8355,0.3227,0.9426,0.8347
istockphoto-1087030692-612x612.jpg,0.342,0.1331,0.9474,0.835,0.9911,0.6972,0.2604,0.9528,0.8354,0.5298,0.9418,0.8343,0.2549,0.9522,0.8355,0.3227,0.9426,0.8347
istockphoto-1095545676-612x612.jpg,0.6257,0.2602,0.892,0.5121,0.9882,0.2623,0.4308,0.906,0.5139,0.8735,0.8764,0.5099,0.5111,0.9048,0.514,0.6872,0.8809,0.5107
istockphoto-1095545676-612x612.jpg,0.6257,0.2602,0.892,0.5121,0.9882,0.2623,0.4308,0.906,0.5139,0.8735,0.8764,0.5099,0.5111,0.9048,0.514,0.6872,0.8809,0.5107
istockphoto-1129868297-612x612.jpg,0.5143,0.1794,0.9275,0.6636,0.9782,0.4403,0.4589,0.938,0.665,0.5181,0.9196,0.6622,0.3101,0.9344,0.6651,0.77,0.9181,0.6619
istockphoto-1129868297-612x612.jpg,0.5143,0.1794,0.9275,0.6636,0.9782,0.4403,0.4589,0.938,0.665,0.5181,0.9196,0.6622,0.3101,0.9344,0.6651,0.77,0.9181,0.6619
istockphoto-1132339646-612x612.jpg,0.2865,0.1643,0.9284,0.7272,0.9894,0.5288,0.219,0.9354,0.7277,0.3452,0.9205,0.7265,0.2142,0.9388,0.7285,0.3674,0.919,0.7261
istockphoto-1132339646-612x612.jpg,0.2865,0.1643,0.9284,0.7272,0.9894,0.5288,0.219,0.9354,0.7277,0.3452,0.9205,0.7265,0.2142,0.9388,0.7285,0.3674,0.919,0.7261
istockphoto-1133583592-612x612.jpg,0.3654,0.1646,0.9298,0.6101,0.9922,0.3722,0.293,0.9369,0.6112,0.3558,0.9231,0.609,0.2595,0.9404,0.6118,0.5533,0.9189,0.6084
istockphoto-1133583592-612x612.jpg,0.3654,0.1646,0.9298,0.6101,0.9922,0.3722,0.293,0.9369,0.6112,0.3558,0.9231,0.609,0.2595,0.9404,0.6118,0.5533,0.9189,0.6084
istockphoto-1134196638-612x612.jpg,0.3548,0.1549,0.9349,0.6601,0.9801,0.4357,0.3033,0.9447,0.6616,0.4234,0.9268,0.6587,0.2276,0.9419,0.6616,0.4648,0.9261,0.6586
istockphoto-1134196638-612x612.jpg,0.3548,0.1549,0.9349,0.6601,0.9801,0.4357,0.3033,0.9447,0.6616,0.4234,0.9268,0.6587,0.2276,0.9419,0.6616,0.4648,0.9261,0.6586
istockphoto-1135477663-612x612.jpg,0.4259,0.1909,0.9208,0.5826,0.994,0.3394,0.3636,0.9321,0.5838,0.506,0.91,0.581,0.2686,0.9313,0.5846,0.5652,0.9096,0.581
istockphoto-1135477663-612x612.jpg,0.4259,0.1909,0.9208,0.5826,0.994,0.3394,0.3636,0.9321,0.5838,0.506,0.91,0.581,0.2686,0.9313,0.5846,0.5652,0.9096,0.581
istockphoto-1185499614-612x612.jpg,0.6471,0.2204,0.9153,0.698,0.9883,0.4872,0.5458,0.9249,0.6987,0.8171,0.9059,0.6972,0.4171,0.9248,0.6991,0.8083,0.9055,0.6971
istockphoto-1185499614-612x612.jpg,0.6471,0.2204,0.9153,0.698,0.9883,0.4872,0.5458,0.9249,0.6987,0.8171,0.9059,0.6972,0.4171,0.9248,0.6991,0.8083,0.9055,0.6971
istockphoto-1226207985-612x612.jpg,0.3205,0.1762,0.923,0.6522,0.9943,0.4253,0.272,0.9311,0.6525,0.3876,0.913,0.6512,0.2103,0.9341,0.6536,0.412,0.914,0.6513
istockphoto-1226207985-612x612.jpg,0.3205,0.1762,0.923,0.6522,0.9943,0.4253,0.272,0.9311,0.6525,0.3876,0.913,0.6512,0.2103,0.9341,0.6536,0.412,0.914,0.6513
istockphoto-123692448-612x612.jpg,0.5103,0.185,0.9271,0.6538,0.9896,0.4274,0.4074,0.9357,0.6542,0.5419,0.919,0.6532,0.3464,0.9354,0.6548,0.7455,0.9182,0.653
istockphoto-123692448-612x612.jpg,0.5103,0.185,0.9271,0.6538,0.9896,0.4274,0.4074,0.9357,0.6542,0.5419,0.919,0.6532,0.3464,0.9354,0.6548,0.7455,0.9182,0.653
istockphoto-1279302542-612x612.jpg,0.4057,0.1353,0.9488,0.7554,0.9869,0.5706,0.3781,0.9537,0.7557,0.3515,0.9444,0.7549,0.2182,0.9565,0.7568,0.6748,0.9405,0.7542
istockphoto-1279302542-612x612.jpg,0.4057,0.1353,0.9488,0.7554,0.9869,0.5706,0.3781,0.9537,0.7557,0.3515,0.9444,0.7549,0.2182,0.9565,0.7568,0.6748,0.9405,0.7542
istockphoto-1301925621-612x612.jpg,0.3233,0.1536,0.9332,0.6273,0.992,0.3935,0.3056,0.941,0.6281,0.4719,0.9228,0.6258,0.178,0.9444,0.6292,0.3377,0.9245,0.6262
istockphoto-1301925621-612x612.jpg,0.3233,0.1536,0.9332,0.6273,0.992,0.3935,0.3056,0.941,0.6281,0.4719,0.9228,0.6258,0.178,0.9444,0.6292,0.3377,0.9245,0.6262
istockphoto-1326454417-612x612.jpg,0.3229,0.1473,0.9386,0.7851,0.9948,0.6165,0.288,0.9443,0.7857,0.3529,0.9317,0.7846,0.1921,0.9479,0.7859,0.4585,0.9306,0.7844
istockphoto-1326454417-612x612.jpg,0.3229,0.1473,0.9386,0.7851,0.9948,0.6165,0.288,0.9443,0.7857,0.3529,0.9317,0.7846,0.1921,0.9479,0.7859,0.4585,0.9306,0.7844
istockphoto-1366928819-612x612.jpg,0.5191,0.1618,0.9398,0.7655,0.9855,0.5861,0.4435,0.946,0.7661,0.4851,0.9348,0.7651,0.3134,0.9469,0.7666,0.8344,0.9316,0.7644
istockphoto-1366928819-612x612.jpg,0.5191,0.1618,0.9398,0.7655,0.9855,0.5861,0.4435,0.946,0.7661,0.4851,0.9348,0.7651,0.3134,0.9469,0.7666,0.8344,0.9316,0.7644
istockphoto-1393602097-612x612.jpg,0.9441,0.3549,0.8676,0.6731,0.9718,0.4531,0.7747,0.8786,0.6739,1.0992,0.8576,0.6723,0.6735,0.8773,0.6742,1.229,0.8567,0.672
istockphoto-1393602097-612x612.jpg,0.9441,0.3549,0.8676,0.6731,0.9718,0.4531,0.7747,0.8786,0.6739,1.0992,0.8576,0.6723,0.6735,0.8773,0.6742,1.229,0.8567,0.672
istockphoto-140477023-612x612.jpg,0.5683,0.1924,0.9239,0.6432,0.9913,0.4137,0.5386,0.9342,0.6446,0.7304,0.9139,0.6417,0.3146,0.9325,0.6444,0.6896,0.9152,0.6422
istockphoto-140477023-612x612.jpg,0.5683,0.1924,0.9239,0.6432,0.9913,0.4137,0.5386,0.9342,0.6446,0.7304,0.9139,0.6417,0.3146,0.9325,0.6444,0.6896,0.9152,0.6422
istockphoto-144292180-612x612.jpg,0.6832,0.1939,0.9321,0.8201,0.98,0.6725,0.5369,0.9382,0.8207,0.6379,0.9267,0.8197,0.4984,0.9374,0.8206,1.0594,0.926,0.8193
istockphoto-144292180-612x612.jpg,0.6832,0.1939,0.9321,0.8201,0.98,0.6725,0.5369,0.9382,0.8207,0.6379,0.9267,0.8197,0.4984,0.9374,0.8206,1.0594,0.926,0.8193
istockphoto-147083227-612x612.jpg,0.4711,0.1928,0.9194,0.6419,0.981,0.4121,0.436,0.929,0.6432,0.5589,0.91,0.6408,0.2868,0.9283,0.6433,0.6029,0.9102,0.6406
istockphoto-147083227-612x612.jpg,0.4711,0.1928,0.9194,0.6419,0.981,0.4121,0.436,0.929,0.6432,0.5589,0.91,0.6408,0.2868,0.9283,0.6433,0.6029,0.9102,0.6406
istockphoto-147083228-612x612.jpg,0.5096,0.219,0.9067,0.5344,0.9837,0.2856,0.4688,0.9174,0.5352,0.6176,0.8951,0.5329,0.3171,0.9184,0.5366,0.6349,0.8956,0.5328
istockphoto-147083228-612x612.jpg,0.5096,0.219,0.9067,0.5344,0.9837,0.2856,0.4688,0.9174,0.5352,0.6176,0.8951,0.5329,0.3171,0.9184,0.5366,0.6349,0.8956,0.5328
istockphoto-155273577-612x612.jpg,0.5773,0.1926,0.9238,0.667,0.9813,0.4449,0.5398,0.9314,0.6676,0.7025,0.915,0.666,0.3158,0.9346,0.6685,0.7511,0.914,0.6657
istockphoto-155273577-612x612.jpg,0.5773,0.1926,0.9238,0.667,0.9813,0.4449,0.5398,0.9314,0.6676,0.7025,0.915,0.666,0.3158,0.9346,0.6685,0.7511,0.914,0.6657
istockphoto-1675181598-612x612.jpg,0.5417,0.1638,0.9363,0.6573,0.9951,0.4321,0.4657,0.9453,0.6581,0.8736,0.9268,0.656,0.3442,0.9436,0.6584,0.4832,0.9294,0.6567
istockphoto-1675181598-612x612.jpg,0.5417,0.1638,0.9363,0.6573,0.9951,0.4321,0.4657,0.9453,0.6581,0.8736,0.9268,0.656,0.3442,0.9436,0.6584,0.4832,0.9294,0.6567
istockphoto-175545299-612x612.jpg,0.8092,0.2478,0.9022,0.5812,0.991,0.3378,0.7644,0.9187,0.5824,1.1165,0.8877,0.5795,0.4315,0.9119,0.5832,0.9243,0.8904,0.5798
istockphoto-175545299-612x612.jpg,0.8092,0.2478,0.9022,0.5812,0.991,0.3378,0.7644,0.9187,0.5824,1.1165,0.8877,0.5795,0.4315,0.9119,0.5832,0.9243,0.8904,0.5798
istockphoto-177284411-612x612.jpg,0.8698,0.2672,0.9054,0.787,0.9775,0.6194,0.7369,0.9118,0.7873,0.8285,0.8997,0.7867,0.6155,0.9143,0.7881,1.2984,0.8958,0.7859
istockphoto-177284411-612x612.jpg,0.8698,0.2672,0.9054,0.787,0.9775,0.6194,0.7369,0.9118,0.7873,0.8285,0.8997,0.7867,0.6155,0.9143,0.7881,1.2984,0.8958,0.7859
istockphoto-178501930-612x612.jpg,0.6152,0.2281,0.9069,0.6683,0.9898,0.4466,0.6015,0.9186,0.6689,0.7398,0.8946,0.6671,0.2961,0.9189,0.67,0.8236,0.8955,0.667
istockphoto-178501930-612x612.jpg,0.6152,0.2281,0.9069,0.6683,0.9898,0.4466,0.6015,0.9186,0.6689,0.7398,0.8946,0.6671,0.2961,0.9189,0.67,0.8236,0.8955,0.667
istockphoto-181877576-612x612.jpg,0.5431,0.2162,0.9116,0.6784,0.9924,0.4602,0.461,0.9199,0.6791,0.6285,0.9017,0.6775,0.367,0.923,0.6795,0.7157,0.9017,0.6773
istockphoto-181877576-612x612.jpg,0.5431,0.2162,0.9116,0.6784,0.9924,0.4602,0.461,0.9199,0.6791,0.6285,0.9017,0.6775,0.367,0.923,0.6795,0.7157,0.9017,0.6773
istockphoto-184977324-612x612.jpg,0.5034,0.241,0.901,0.6738,0.9939,0.454,0.3943,0.9119,0.6748,0.6363,0.8891,0.6726,0.3705,0.9114,0.6746,0.6125,0.8916,0.6731
istockphoto-184977324-612x612.jpg,0.5034,0.241,0.901,0.6738,0.9939,0.454,0.3943,0.9119,0.6748,0.6363,0.8891,0.6726,0.3705,0.9114,0.6746,0.6125,0.8916,0.6731
istockphoto-2220579022-612x612.jpg,0.392,0.184,0.9212,0.6304,0.994,0.3974,0.361,0.9308,0.6311,0.4694,0.9114,0.6294,0.2296,0.9322,0.6319,0.5078,0.9106,0.6291
istockphoto-2220579022-612x612.jpg,0.392,0.184,0.9212,0.6304,0.994,0.3974,0.361,0.9308,0.6311,0.4694,0.9114,0.6294,0.2296,0.9322,0.6319,0.5078,0.9106,0.6291
istockphoto-2242248675-612x612.jpg,0.6652,0.2401,0.9038,0.6566,0.9939,0.4312,0.6053,0.9152,0.6574,0.713,0.8949,0.6558,0.4145,0.9122,0.658,0.9282,0.8931,0.6555
istockphoto-2242248675-612x612.jpg,0.6652,0.2401,0.9038,0.6566,0.9939,0.4312,0.6053,0.9152,0.6574,0.713,0.8949,0.6558,0.4145,0.9122,0.658,0.9282,0.8931,0.6555
istockphoto-465341926-612x612.jpg,0.5961,0.2992,0.8701,0.5166,0.9893,0.2669,0.504,0.8891,0.5179,0.7539,0.8525,0.5148,0.4023,0.8834,0.5185,0.724,0.8554,0.5152
istockphoto-465341926-612x612.jpg,0.5961,0.2992,0.8701,0.5166,0.9893,0.2669,0.504,0.8891,0.5179,0.7539,0.8525,0.5148,0.4023,0.8834,0.5185,0.724,0.8554,0.5152
istockphoto-466531300-612x612.jpg,0.5767,0.2276,0.9073,0.6577,0.988,0.4326,0.435,0.9205,0.6586,0.6746,0.8971,0.6568,0.4419,0.9163,0.6589,0.7552,0.8954,0.6566
istockphoto-466531300-612x612.jpg,0.5767,0.2276,0.9073,0.6577,0.988,0.4326,0.435,0.9205,0.6586,0.6746,0.8971,0.6568,0.4419,0.9163,0.6589,0.7552,0.8954,0.6566
istockphoto-467486600-612x612.jpg,0.5955,0.2258,0.9088,0.6598,0.9882,0.4353,0.4579,0.9216,0.6606,0.7708,0.8987,0.6587,0.4423,0.9181,0.661,0.7113,0.897,0.6587
istockphoto-467486600-612x612.jpg,0.5955,0.2258,0.9088,0.6598,0.9882,0.4353,0.4579,0.9216,0.6606,0.7708,0.8987,0.6587,0.4423,0.9181,0.661,0.7113,0.897,0.6587
istockphoto-469077826-612x612.jpg,0.5513,0.2735,0.8823,0.553,0.9879,0.3058,0.4831,0.8988,0.5542,0.6557,0.868,0.5516,0.35,0.8954,0.555,0.7164,0.8669,0.5513
istockphoto-469077826-612x612.jpg,0.5513,0.2735,0.8823,0.553,0.9879,0.3058,0.4831,0.8988,0.5542,0.6557,0.868,0.5516,0.35,0.8954,0.555,0.7164,0.8669,0.5513
istockphoto-469257342-612x612.jpg,0.3932,0.1707,0.9266,0.6079,0.9849,0.3696,0.3533,0.9375,0.6091,0.5403,0.9153,0.6062,0.2397,0.9355,0.6098,0.4396,0.9183,0.6067
istockphoto-469257342-612x612.jpg,0.3932,0.1707,0.9266,0.6079,0.9849,0.3696,0.3533,0.9375,0.6091,0.5403,0.9153,0.6062,0.2397,0.9355,0.6098,0.4396,0.9183,0.6067
