Nama_File,Hue_1,Warna_1,Hue_2,Warna_2
istockphoto-1063364654-612x612.jpg,28.0,Kuning,,
istockphoto-1063364654-612x612.jpg,28.0,Kuning,,
istockphoto-1076679510-612x612.jpg,18.6,Oranye,,
istockphoto-1076679510-612x612.jpg,18.6,Oranye,,
istockphoto-1087019400-612x612.jpg,31.8,Kuning,,
istockphoto-1087019400-612x612.jpg,31.8,Kuning,,
istockphoto-1087020114-612x612.jpg,30.6,Kuning,,
istockphoto-1087020114-612x612.jpg,30.6,Kuning,,
istockphoto-1087030692-612x612.jpg,31.0,Kuning,,
istockphoto-1087030692-612x612.jpg,31.0,Kuning,,
istockphoto-1095545676-612x612.jpg,32.5,Kuning,35.0,Hijau
istockphoto-1095545676-612x612.jpg,32.5,Kuning,35.0,Hijau
istockphoto-1129868297-612x612.jpg,25.5,Kuning,23.0,Oranye
istockphoto-1129868297-612x612.jpg,25.5,Kuning,23.0,Oranye
istockphoto-1132339646-612x612.jpg,32.0,Kuning,,
istockphoto-1132339646-612x612.jpg,32.0,Kuning,,
istockphoto-1133583592-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-1133583592-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-1134196638-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-1134196638-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-1135477663-612x612.jpg,29.0,Kuning,,
istockphoto-1135477663-612x612.jpg,29.0,Kuning,,
istockphoto-1185499614-612x612.jpg,19.0,Oranye,,
istockphoto-1185499614-612x612.jpg,19.0,Oranye,,
istockphoto-1226207985-612x612.jpg,27.0,Kuning,,
istockphoto-1226207985-612x612.jpg,27.0,Kuning,,
istockphoto-123692448-612x612.jpg,28.0,Kuning,,
istockphoto-123692448-612x612.jpg,28.0,Kuning,,
istockphoto-1279302542-612x612.jpg,26.5,Kuning,24.0,Oranye
istockphoto-1279302542-612x612.jpg,26.5,Kuning,24.0,Oranye
istockphoto-1301925621-612x612.jpg,31.0,Kuning,,
istockphoto-1301925621-612x612.jpg,31.0,Kuning,,
istockphoto-1326454417-612x612.jpg,26.0,Kuning,11.5,Oranye
istockphoto-1326454417-612x612.jpg,26.0,Kuning,11.5,Oranye
istockphoto-1366928819-612x612.jpg,30.0,Kuning,,
istockphoto-1366928819-612x612.jpg,30.0,Kuning,,
istockphoto-1393602097-612x612.jpg,19.0,Oranye,,
istockphoto-1393602097-612x612.jpg,19.0,Oranye,,
istockphoto-140477023-612x612.jpg,28.0,Kuning,,
istockphoto-140477023-612x612.jpg,28.0,Kuning,,
istockphoto-144292180-612x612.jpg,31.0,Kuning,,
istockphoto-144292180-612x612.jpg,31.0,Kuning,,
istockphoto-147083227-612x612.jpg,31.0,Kuning,,
istockphoto-147083227-612x612.jpg,31.0,Kuning,,
istockphoto-147083228-612x612.jpg,31.0,Kuning,,
istockphoto-147083228-612x612.jpg,31.0,Kuning,,
istockphoto-155273577-612x612.jpg,31.0,Kuning,,
istockphoto-155273577-612x612.jpg,31.0,Kuning,,
istockphoto-1675181598-612x612.jpg,36.0,Hijau,33.0,Kuning
istockphoto-1675181598-612x612.jpg,36.0,Hijau,33.0,Kuning
istockphoto-175545299-612x612.jpg,30.0,Kuning,,
istockphoto-175545299-612x612.jpg,30.0,Kuning,,
istockphoto-177284411-612x612.jpg,30.0,Kuning,,
istockphoto-177284411-612x612.jpg,30.0,Kuning,,
istockphoto-178501930-612x612.jpg,29.0,Kuning,,
istockphoto-178501930-612x612.jpg,29.0,Kuning,,
istockphoto-181877576-612x612.jpg,30.8,Kuning,,
istockphoto-181877576-612x612.jpg,30.8,Kuning,,
istockphoto-184977324-612x612.jpg,29.0,Kuning,,
istockphoto-184977324-612x612.jpg,29.0,Kuning,,
istockphoto-2220579022-612x612.jpg,30.0,Kuning,,
istockphoto-2220579022-612x612.jpg,30.0,Kuning,,
istockphoto-2242248675-612x612.jpg,19.0,Oranye,,
istockphoto-2242248675-612x612.jpg,19.0,Oranye,,
istockphoto-465341926-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-465341926-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-466531300-612x612.jpg,28.0,Kuning,,
istockphoto-466531300-612x612.jpg,28.0,Kuning,,
istockphoto-467486600-612x612.jpg,28.0,Kuning,,
istockphoto-467486600-612x612.jpg,28.0,Kuning,,
istockphoto-469077826-612x612.jpg,32.0,Kuning,,
istockphoto-469077826-612x612.jpg,32.0,Kuning,,
istockphoto-469257342-612x612.jpg,28.0,Kuning,,
istockphoto-469257342-612x612.jpg,28.0,Kuning,,
istockphoto-482155234-612x612.jpg,32.0,Kuning,,
istockphoto-482155234-612x612.jpg,32.0,Kuning,,
istockphoto-526075659-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-526075659-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-531932353-612x612.jpg,22.5,Oranye,25.0,Kuning
istockphoto-531932353-612x612.jpg,22.5,Oranye,25.0,Kuning
istockphoto-628329026-612x612.jpg,23.0,Oranye,27.0,Kuning
istockphoto-628329026-612x612.jpg,23.0,Oranye,27.0,Kuning
istockphoto-825296046-612x612.jpg,30.5,Kuning,22.0,Oranye
istockphoto-825296046-612x612.jpg,30.5,Kuning,22.0,Oranye
istockphoto-841873650-612x612.jpg,29.0,Kuning,,
istockphoto-841873650-612x612.jpg,29.0,Kuning,,
istockphoto-875187092-612x612.jpg,31.0,Kuning,,
istockphoto-875187092-612x612.jpg,31.0,Kuning,,
