Nama_File,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Mean_H,Mean_S,Mean_V,Std_H,Std_S,Std_V,Skew_R,Skew_G,Skew_B,Kurt_R,Kurt_G,Kurt_B
istockphoto-111833285-612x612.jpg,235.28,237.2,204.44,33.94,31.67,74.88,13.35,43.19,238.18,20.85,66.2,30.1,-2.34,-2.84,-1.02,7.47,11.78,-0.55
istockphoto-111833285-612x612.jpg,235.28,237.2,204.44,33.94,31.67,74.88,13.35,43.19,238.18,20.85,66.2,30.1,-2.34,-2.84,-1.02,7.47,11.78,-0.55
istockphoto-1142556015-612x612.jpg,241.95,226.56,163.81,23.2,37.0,110.1,12.44,89.32,242.47,17.11,109.61,21.27,-2.88,-1.0,-0.51,10.32,-0.04,-1.57
istockphoto-1142556015-612x612.jpg,241.95,226.56,163.81,23.2,37.0,110.1,12.44,89.32,242.47,17.11,109.61,21.27,-2.88,-1.0,-0.51,10.32,-0.04,-1.57
istockphoto-1145222158-612x612.jpg,247.41,237.18,194.21,20.56,30.95,91.27,14.25,59.2,247.56,28.14,89.95,20.17,-4.12,-2.22,-1.12,19.38,5.69,-0.39
istockphoto-1145222158-612x612.jpg,247.41,237.18,194.21,20.56,30.95,91.27,14.25,59.2,247.56,28.14,89.95,20.17,-4.12,-2.22,-1.12,19.38,5.69,-0.39
istockphoto-1145692762-612x612.jpg,219.49,223.13,153.75,50.43,47.73,110.81,16.87,96.83,224.92,19.92,108.84,45.69,-1.52,-1.8,-0.29,1.8,2.97,-1.78
istockphoto-1145692762-612x612.jpg,219.49,223.13,153.75,50.43,47.73,110.81,16.87,96.83,224.92,19.92,108.84,45.69,-1.52,-1.8,-0.29,1.8,2.97,-1.78
istockphoto-1146065629-612x612.jpg,207.78,209.96,156.04,63.9,60.3,112.21,16.5,93.4,211.87,19.67,109.29,59.03,-1.12,-1.16,-0.37,0.01,0.23,-1.74
istockphoto-1146065629-612x612.jpg,207.78,209.96,156.04,63.9,60.3,112.21,16.5,93.4,211.87,19.67,109.29,59.03,-1.12,-1.16,-0.37,0.01,0.23,-1.74
istockphoto-1146507783-612x612.jpg,220.6,224.13,170.08,50.96,47.82,107.51,15.09,80.56,225.31,19.1,104.97,46.07,-1.35,-1.6,-0.61,0.84,1.9,-1.47
istockphoto-1146507783-612x612.jpg,220.6,224.13,170.08,50.96,47.82,107.51,15.09,80.56,225.31,19.1,104.97,46.07,-1.35,-1.6,-0.61,0.84,1.9,-1.47
istockphoto-1148078328-612x612.jpg,243.22,226.91,168.93,23.76,36.77,100.61,12.44,83.52,243.48,16.33,99.12,22.99,-3.79,-1.35,-0.53,17.98,1.89,-1.42
istockphoto-1148078328-612x612.jpg,243.22,226.91,168.93,23.76,36.77,100.61,12.44,83.52,243.48,16.33,99.12,22.99,-3.79,-1.35,-0.53,17.98,1.89,-1.42
