Nama_File,Canny_Edge_Density_Low,Canny_Edge_Density_Medium,Canny_Edge_Density_High,Canny_Contour_Count_Low,Canny_Contour_Count_Medium,Canny_Contour_Count_High,Canny_Avg_Contour_Length_Low,Canny_Avg_Contour_Length_Medium,Canny_Avg_Contour_Length_High,Sobel_Mean,Sobel_Std
istockphoto-111833285-612x612.jpg,1.257,0.9541,0.5045,15,12,10,377.99,350.76,218.95,13.95,45.93
istockphoto-111833285-612x612.jpg,1.257,0.9541,0.5045,15,12,10,377.99,350.76,218.95,13.95,45.93
istockphoto-1142556015-612x612.jpg,1.0373,0.5289,0.2889,11,11,6,462.76,228.71,218.47,9.7,29.56
istockphoto-1142556015-612x612.jpg,1.0373,0.5289,0.2889,11,11,6,462.76,228.71,218.47,9.7,29.56
istockphoto-1145222158-612x612.jpg,1.4097,0.6724,0.3785,18,11,11,365.24,273.51,152.66,11.44,36.83
istockphoto-1145222158-612x612.jpg,1.4097,0.6724,0.3785,18,11,11,365.24,273.51,152.66,11.44,36.83
istockphoto-1145692762-612x612.jpg,1.5621,0.9494,0.6075,30,20,13,277.57,250.27,237.17,18.95,47.11
istockphoto-1145692762-612x612.jpg,1.5621,0.9494,0.6075,30,20,13,277.57,250.27,237.17,18.95,47.11
istockphoto-1146065629-612x612.jpg,1.4678,0.9083,0.5404,34,26,16,229.56,181.37,175.28,17.32,45.85
istockphoto-1146065629-612x612.jpg,1.4678,0.9083,0.5404,34,26,16,229.56,181.37,175.28,17.32,45.85
istockphoto-1146507783-612x612.jpg,1.6589,0.9294,0.574,35,29,15,238.18,154.94,181.49,17.27,46.78
istockphoto-1146507783-612x612.jpg,1.6589,0.9294,0.574,35,29,15,238.18,154.94,181.49,17.27,46.78
istockphoto-1148078328-612x612.jpg,1.1606,0.4881,0.2512,17,10,9,355.53,250.91,144.08,11.03,34.67
istockphoto-1148078328-612x612.jpg,1.1606,0.4881,0.2512,17,10,9,355.53,250.91,144.08,11.03,34.67
istockphoto-1153426278-612x612.jpg,0.5731,0.4146,0.1957,6,2,4,426.82,894.3,204.1,6.22,23.42
istockphoto-1153426278-612x612.jpg,0.5731,0.4146,0.1957,6,2,4,426.82,894.3,204.1,6.22,23.42
istockphoto-1403991086-612x612.jpg,1.2182,0.777,0.4523,18,12,9,405.58,383.09,306.98,11.43,40.44
istockphoto-1403991086-612x612.jpg,1.2182,0.777,0.4523,18,12,9,405.58,383.09,306.98,11.43,40.44
istockphoto-1454764028-612x612.jpg,1.5341,0.9768,0.6503,22,11,9,346.11,429.79,340.19,14.59,39.47
istockphoto-1454764028-612x612.jpg,1.5341,0.9768,0.6503,22,11,9,346.11,429.79,340.19,14.59,39.47
istockphoto-1461328229-612x612.jpg,0.6409,0.3263,0.2338,5,4,4,481.23,309.17,207.11,7.92,26.19
istockphoto-1461328229-612x612.jpg,0.6409,0.3263,0.2338,5,4,4,481.23,309.17,207.11,7.92,26.19
istockphoto-147069390-612x612.jpg,0.8076,0.5699,0.3658,7,8,4,538.24,322.99,412.96,7.12,37.97
istockphoto-147069390-612x612.jpg,0.8076,0.5699,0.3658,7,8,4,538.24,322.99,412.96,7.12,37.97
istockphoto-148327893-612x612.jpg,1.5122,0.8863,0.4542,27,20,12,258.94,205.8,174.59,14.07,46.14
istockphoto-148327893-612x612.jpg,1.5122,0.8863,0.4542,27,20,12,258.94,205.8,174.59,14.07,46.14
istockphoto-151555636-612x612.jpg,1.5158,0.9155,0.6131,19,17,13,378.34,246.87,215.31,15.66,47.3
istockphoto-151555636-612x612.jpg,1.5158,0.9155,0.6131,19,17,13,378.34,246.87,215.31,15.66,47.3
istockphoto-152172736-612x612.jpg,1.1754,0.813,0.3917,17,12,9,329.33,317.16,196.36,10.84,38.96
