Nama_File,Hue_1,Warna_1,Hue_2,Warna_2
istockphoto-111833285-612x612.jpg,32.0,Kuning,35.0,Hijau
istockphoto-111833285-612x612.jpg,32.0,Kuning,35.0,Hijau
istockphoto-1142556015-612x612.jpg,22.5,Oranye,25.0,Kuning
istockphoto-1142556015-612x612.jpg,22.5,Oranye,25.0,Kuning
istockphoto-1145222158-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-1145222158-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-1145692762-612x612.jpg,31.25,Kuning,35.0,Hijau
istockphoto-1145692762-612x612.jpg,31.25,Kuning,35.0,Hijau
istockphoto-1146065629-612x612.jpg,31.25,Kuning,35.0,Hijau
istockphoto-1146065629-612x612.jpg,31.25,Kuning,35.0,Hijau
istockphoto-1146507783-612x612.jpg,32.5,Kuning,35.0,Hijau
istockphoto-1146507783-612x612.jpg,32.5,Kuning,35.0,Hijau
istockphoto-1148078328-612x612.jpg,22.5,Oranye,25.0,Kuning
istockphoto-1148078328-612x612.jpg,22.5,Oranye,25.0,Kuning
istockphoto-1153426278-612x612.jpg,22.0,Oranye,,
istockphoto-1153426278-612x612.jpg,22.0,Oranye,,
istockphoto-1403991086-612x612.jpg,21.0,Oranye,,
istockphoto-1403991086-612x612.jpg,21.0,Oranye,,
istockphoto-1454764028-612x612.jpg,37.8,Hijau,,
istockphoto-1454764028-612x612.jpg,37.8,Hijau,,
istockphoto-1461328229-612x612.jpg,22.5,Oranye,25.0,Kuning
istockphoto-1461328229-612x612.jpg,22.5,Oranye,25.0,Kuning
istockphoto-147069390-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-147069390-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-148327893-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-148327893-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-151555636-612x612.jpg,22.0,Oranye,,
istockphoto-151555636-612x612.jpg,22.0,Oranye,,
istockphoto-152172736-612x612.jpg,25.5,Kuning,23.0,Oranye
istockphoto-152172736-612x612.jpg,25.5,Kuning,23.0,Oranye
istockphoto-153152189-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-153152189-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-153687315-612x612.jpg,21.0,Oranye,,
istockphoto-153687315-612x612.jpg,21.0,Oranye,,
istockphoto-155428659-612x612.jpg,21.75,Oranye,25.0,Kuning
istockphoto-155428659-612x612.jpg,21.75,Oranye,25.0,Kuning
istockphoto-160420996-612x612.jpg,22.0,Oranye,,
istockphoto-160420996-612x612.jpg,22.0,Oranye,,
istockphoto-173915234-612x612.jpg,22.5,Oranye,25.0,Kuning
istockphoto-173915234-612x612.jpg,22.5,Oranye,25.0,Kuning
istockphoto-174192325-612x612.jpg,22.5,Oranye,25.0,Kuning
istockphoto-174192325-612x612.jpg,22.5,Oranye,25.0,Kuning
istockphoto-175129786-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-175129786-612x612.jpg,23.0,Oranye,25.5,Kuning
istockphoto-176810394-612x612.jpg,26.0,Kuning,23.5,Oranye
istockphoto-176810394-612x612.jpg,26.0,Kuning,23.5,Oranye
