Kategori,Nama_File,Hue_1,Warna_1,Hue_2,Warna_2,Hue_3,Warna_3
apel,istockphoto-104118859-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-104118859-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-1071724874-612x612.jpg,142.2,Merah,,,,
apel,istockphoto-1071724874-612x612.jpg,142.2,Merah,,,,
apel,istockphoto-1129330002-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-1129330002-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-1129330005-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-1129330005-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-1129330007-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-1129330007-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-1194909938-612x612.jpg,2.0,Merah,,,,
apel,istockphoto-1194909938-612x612.jpg,2.0,Merah,,,,
apel,istockphoto-1211615527-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-1211615527-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-1251667475-612x612.jpg,176.0,Merah,,,,
apel,istockphoto-1251667475-612x612.jpg,176.0,Merah,,,,
apel,istockphoto-1278670245-612x612.jpg,37.0,Merah,,,,
apel,istockphoto-1278670245-612x612.jpg,37.0,Merah,,,,
apel,istockphoto-1291262170-612x612.jpg,142.2,Merah,,,,
apel,istockphoto-1291262170-612x612.jpg,142.2,Merah,,,,
apel,istockphoto-1296217548-612x612.jpg,107.0,Merah,,,,
apel,istockphoto-1296217548-612x612.jpg,107.0,Merah,,,,
apel,istockphoto-1312496608-612x612.jpg,3.0,Merah,,,,
apel,istockphoto-1312496608-612x612.jpg,3.0,Merah,,,,
apel,istockphoto-1317485931-612x612.jpg,72.0,Merah,,,,
apel,istockphoto-1317485931-612x612.jpg,72.0,Merah,,,,
apel,istockphoto-139536288-612x612.jpg,3.0,Merah,,,,
apel,istockphoto-139536288-612x612.jpg,3.0,Merah,,,,
apel,istockphoto-145152710-612x612.jpg,4.0,Merah,,,,
apel,istockphoto-145152710-612x612.jpg,4.0,Merah,,,,
apel,istockphoto-146074221-612x612.jpg,3.0,Merah,,,,
apel,istockphoto-146074221-612x612.jpg,3.0,Merah,,,,
apel,istockphoto-146899851-612x612.jpg,2.0,Merah,,,,
apel,istockphoto-146899851-612x612.jpg,2.0,Merah,,,,
apel,istockphoto-147072004-612x612.jpg,142.2,Merah,,,,
apel,istockphoto-147072004-612x612.jpg,142.2,Merah,,,,
apel,istockphoto-147666530-612x612.jpg,72.0,Merah,,,,
apel,istockphoto-147666530-612x612.jpg,72.0,Merah,,,,
apel,istockphoto-1489396457-612x612.jpg,176.0,Merah,,,,
apel,istockphoto-1489396457-612x612.jpg,176.0,Merah,,,,
apel,istockphoto-1605993675-612x612.jpg,176.0,Merah,,,,
apel,istockphoto-1605993675-612x612.jpg,176.0,Merah,,,,
apel,istockphoto-166138544-612x612.jpg,107.0,Merah,,,,
apel,istockphoto-166138544-612x612.jpg,107.0,Merah,,,,
apel,istockphoto-172381794-612x612.jpg,176.5,Merah,39.0,Hijau,,
apel,istockphoto-172381794-612x612.jpg,176.5,Merah,39.0,Hijau,,
apel,istockphoto-177110145-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-177110145-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-177247793-612x612.jpg,72.0,Merah,,,,
apel,istockphoto-177247793-612x612.jpg,72.0,Merah,,,,
apel,istockphoto-179514712-612x612.jpg,4.0,Merah,,,,
apel,istockphoto-179514712-612x612.jpg,4.0,Merah,,,,
apel,istockphoto-185071735-612x612.jpg,72.0,Merah,,,,
apel,istockphoto-185071735-612x612.jpg,72.0,Merah,,,,
apel,istockphoto-185689098-612x612.jpg,107.0,Merah,,,,
apel,istockphoto-185689098-612x612.jpg,107.0,Merah,,,,
apel,istockphoto-186843005-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-186843005-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-187185922-612x612.jpg,3.0,Merah,,,,
apel,istockphoto-187185922-612x612.jpg,3.0,Merah,,,,
apel,istockphoto-2218780905-612x612.jpg,142.2,Merah,,,,
apel,istockphoto-2218780905-612x612.jpg,142.2,Merah,,,,
apel,istockphoto-2218780960-612x612.jpg,141.6,Merah,,,,
apel,istockphoto-2218780960-612x612.jpg,141.6,Merah,,,,
apel,istockphoto-465833631-612x612.jpg,175.6,Merah,,,,
apel,istockphoto-465833631-612x612.jpg,175.6,Merah,,,,
apel,istockphoto-466413957-612x612.jpg,2.0,Merah,,,,
apel,istockphoto-466413957-612x612.jpg,2.0,Merah,,,,
apel,istockphoto-471597370-612x612.jpg,176.0,Merah,,,,
apel,istockphoto-471597370-612x612.jpg,176.0,Merah,,,,
apel,istockphoto-479800900-612x612.jpg,2.0,Merah,,,,
apel,istockphoto-479800900-612x612.jpg,2.0,Merah,,,,
apel,istockphoto-483874492-612x612.jpg,1.5,Merah,41.0,Hijau,,
apel,istockphoto-483874492-612x612.jpg,1.5,Merah,41.0,Hijau,,
apel,istockphoto-488957174-612x612.jpg,175.0,Merah,,,,
apel,istockphoto-488957174-612x612.jpg,175.0,Merah,,,,
apel,istockphoto-501044585-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-501044585-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-517715916-612x612.jpg,107.0,Merah,,,,
apel,istockphoto-517715916-612x612.jpg,107.0,Merah,,,,
apel,istockphoto-586052010-612x612.jpg,175.0,Merah,,,,
apel,istockphoto-586052010-612x612.jpg,175.0,Merah,,,,
apel,istockphoto-609822514-612x612.jpg,2.5,Merah,43.0,Hijau,,
apel,istockphoto-609822514-612x612.jpg,2.5,Merah,43.0,Hijau,,
apel,istockphoto-613780354-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-613780354-612x612.jpg,177.0,Merah,,,,
apel,istockphoto-616108408-612x612.jpg,6.0,Merah,,,,
apel,istockphoto-616108408-612x612.jpg,6.0,Merah,,,,
apel,istockphoto-625771024-612x612.jpg,72.0,Merah,,,,
apel,istockphoto-625771024-612x612.jpg,72.0,Merah,,,,
apel,istockphoto-667661104-612x612.jpg,2.0,Merah,,,,
apel,istockphoto-667661104-612x612.jpg,2.0,Merah,,,,
apel,istockphoto-667680664-612x612.jpg,36.8,Merah,,,,
apel,istockphoto-667680664-612x612.jpg,36.8,Merah,,,,
apel,istockphoto-92360356-612x612.jpg,3.0,Merah,,,,
apel,istockphoto-92360356-612x612.jpg,3.0,Merah,,,,
apel,istockphoto-92655916-612x612.jpg,2.0,Merah,,,,
apel,istockphoto-92655916-612x612.jpg,2.0,Merah,,,,
