Nama_File,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Mean_H,Mean_S,Mean_V,Std_H,Std_S,Std_V,Skew_R,Skew_G,Skew_B,Kurt_R,Kurt_G,Kurt_B
istockphoto-1014791658-612x612.jpg,231.11,197.71,192.48,38.17,89.99,92.77,33.14,57.12,231.68,63.51,90.63,37.56,-1.47,-1.22,-1.05,0.9,-0.25,-0.68
istockphoto-1014791658-612x612.jpg,231.11,197.71,192.48,38.17,89.99,92.77,33.14,57.12,231.68,63.51,90.63,37.56,-1.47,-1.22,-1.05,0.9,-0.25,-0.68
istockphoto-1015639098-612x612.jpg,238.69,192.44,180.92,39.54,92.09,101.81,30.15,73.51,242.41,62.08,102.28,28.59,-3.15,-1.02,-0.77,10.33,-0.7,-1.25
istockphoto-1015639098-612x612.jpg,238.69,192.44,180.92,39.54,92.09,101.81,30.15,73.51,242.41,62.08,102.28,28.59,-3.15,-1.02,-0.77,10.33,-0.7,-1.25
istockphoto-1015653774-612x612.jpg,229.53,176.76,164.06,41.65,98.25,107.52,25.08,88.01,231.64,56.0,104.92,36.74,-1.82,-0.68,-0.43,2.67,-1.24,-1.68
istockphoto-1015653774-612x612.jpg,229.53,176.76,164.06,41.65,98.25,107.52,25.08,88.01,231.64,56.0,104.92,36.74,-1.82,-0.68,-0.43,2.67,-1.24,-1.68
istockphoto-1032609648-612x612.jpg,237.2,202.56,191.87,32.49,80.76,90.74,11.35,56.64,238.9,32.8,86.75,29.17,-2.27,-1.23,-0.98,4.93,-0.14,-0.8
istockphoto-1032609648-612x612.jpg,237.2,202.56,191.87,32.49,80.76,90.74,11.35,56.64,238.9,32.8,86.75,29.17,-2.27,-1.23,-0.98,4.93,-0.14,-0.8
istockphoto-1056607410-612x612.jpg,239.12,211.72,207.4,34.41,81.52,88.49,7.89,44.62,240.0,32.14,84.1,31.28,-2.61,-1.48,-1.42,7.53,0.42,0.15
istockphoto-1056607410-612x612.jpg,239.12,211.72,207.4,34.41,81.52,88.49,7.89,44.62,240.0,32.14,84.1,31.28,-2.61,-1.48,-1.42,7.53,0.42,0.15
istockphoto-1127160154-612x612.jpg,223.19,196.85,191.61,53.93,95.15,101.08,25.08,58.89,223.97,58.31,96.7,52.37,-1.41,-1.17,-1.05,0.62,-0.42,-0.79
istockphoto-1127160154-612x612.jpg,223.19,196.85,191.61,53.93,95.15,101.08,25.08,58.89,223.97,58.31,96.7,52.37,-1.41,-1.17,-1.05,0.62,-0.42,-0.79
istockphoto-1140086188-612x612.jpg,239.48,206.11,199.7,41.47,85.68,92.87,26.84,54.86,243.16,59.53,93.2,29.12,-3.41,-1.37,-1.19,12.06,0.15,-0.42
istockphoto-1140086188-612x612.jpg,239.48,206.11,199.7,41.47,85.68,92.87,26.84,54.86,243.16,59.53,93.2,29.12,-3.41,-1.37,-1.19,12.06,0.15,-0.42
istockphoto-1166348633-612x612.jpg,233.38,186.62,176.51,42.37,92.69,101.21,24.24,76.56,237.62,56.07,99.84,30.37,-2.62,-0.86,-0.65,6.92,-0.91,-1.37
istockphoto-1166348633-612x612.jpg,233.38,186.62,176.51,42.37,92.69,101.21,24.24,76.56,237.62,56.07,99.84,30.37,-2.62,-0.86,-0.65,6.92,-0.91,-1.37
istockphoto-1170534449-612x612.jpg,234.86,191.41,190.15,31.03,92.21,93.51,57.84,63.42,235.21,79.09,94.5,30.23,-1.64,-1.08,-1.02,2.42,-0.49,-0.67
istockphoto-1170534449-612x612.jpg,234.86,191.41,190.15,31.03,92.21,93.51,57.84,63.42,235.21,79.09,94.5,30.23,-1.64,-1.08,-1.02,2.42,-0.49,-0.67
istockphoto-1173920026-612x612.jpg,236.58,189.68,180.42,36.24,96.03,103.0,31.72,73.45,238.36,63.64,102.58,31.52,-2.43,-1.0,-0.75,5.66,-0.73,-1.31
istockphoto-1173920026-612x612.jpg,236.58,189.68,180.42,36.24,96.03,103.0,31.72,73.45,238.36,63.64,102.58,31.52,-2.43,-1.0,-0.75,5.66,-0.73,-1.31
istockphoto-1173921402-612x612.jpg,237.04,190.47,181.21,35.98,96.02,103.06,30.98,72.95,238.82,62.98,102.68,31.2,-2.48,-1.02,-0.77,5.94,-0.7,-1.29
istockphoto-1173921402-612x612.jpg,237.04,190.47,181.21,35.98,96.02,103.06,30.98,72.95,238.82,62.98,102.68,31.2,-2.48,-1.02,-0.77,5.94,-0.7,-1.29
istockphoto-1177590220-612x612.jpg,239.45,206.22,201.2,41.4,83.01,86.82,40.85,55.11,244.6,71.19,90.02,24.06,-3.34,-1.41,-1.18,10.75,0.4,-0.31
istockphoto-1177590220-612x612.jpg,239.45,206.22,201.2,41.4,83.01,86.82,40.85,55.11,244.6,71.19,90.02,24.06,-3.34,-1.41,-1.18,10.75,0.4,-0.31
istockphoto-1180163150-612x612.jpg,232.16,192.35,176.92,40.2,85.93,103.67,6.4,73.83,233.29,18.34,99.48,37.59,-1.8,-0.85,-0.69,2.49,-1.0,-1.35
istockphoto-1180163150-612x612.jpg,232.16,192.35,176.92,40.2,85.93,103.67,6.4,73.83,233.29,18.34,99.48,37.59,-1.8,-0.85,-0.69,2.49,-1.0,-1.35
istockphoto-1180163291-612x612.jpg,239.63,202.02,190.11,32.02,78.53,93.12,5.77,61.07,240.59,19.1,88.65,29.24,-2.44,-1.03,-0.88,5.71,-0.62,-1.02
istockphoto-1180163291-612x612.jpg,239.63,202.02,190.11,32.02,78.53,93.12,5.77,61.07,240.59,19.1,88.65,29.24,-2.44,-1.03,-0.88,5.71,-0.62,-1.02
istockphoto-1181149583-612x612.jpg,236.07,197.48,191.98,31.54,89.28,93.27,21.6,58.78,237.06,54.11,89.51,29.75,-1.79,-1.09,-0.94,3.18,-0.58,-0.93
istockphoto-1181149583-612x612.jpg,236.07,197.48,191.98,31.54,89.28,93.27,21.6,58.78,237.06,54.11,89.51,29.75,-1.79,-1.09,-0.94,3.18,-0.58,-0.93
istockphoto-1210359754-612x612.jpg,234.39,193.85,184.92,39.39,91.87,101.16,18.29,67.41,235.82,48.68,98.71,35.38,-2.19,-1.05,-0.85,4.47,-0.6,-1.14
istockphoto-1210359754-612x612.jpg,234.39,193.85,184.92,39.39,91.87,101.16,18.29,67.41,235.82,48.68,98.71,35.38,-2.19,-1.05,-0.85,4.47,-0.6,-1.14
istockphoto-1249538191-612x612.jpg,240.96,193.99,184.27,26.63,88.76,97.69,9.55,67.51,242.02,32.51,95.22,23.66,-2.54,-1.01,-0.79,6.96,-0.65,-1.19
istockphoto-1249538191-612x612.jpg,240.96,193.99,184.27,26.63,88.76,97.69,9.55,67.51,242.02,32.51,95.22,23.66,-2.54,-1.01,-0.79,6.96,-0.65,-1.19
istockphoto-1250636720-612x612.jpg,238.57,174.89,164.83,35.99,99.16,106.21,36.42,90.37,240.98,67.17,107.08,27.92,-3.15,-0.62,-0.43,10.34,-1.35,-1.67
istockphoto-1250636720-612x612.jpg,238.57,174.89,164.83,35.99,99.16,106.21,36.42,90.37,240.98,67.17,107.08,27.92,-3.15,-0.62,-0.43,10.34,-1.35,-1.67
istockphoto-1297530672-612x612.jpg,231.78,209.19,208.45,50.36,85.51,85.85,28.48,42.1,232.77,61.6,83.94,47.3,-2.33,-1.55,-1.47,4.6,0.74,0.39
istockphoto-1297530672-612x612.jpg,231.78,209.19,208.45,50.36,85.51,85.85,28.48,42.1,232.77,61.6,83.94,47.3,-2.33,-1.55,-1.47,4.6,0.74,0.39
istockphoto-1309538077-612x612.jpg,244.23,222.63,219.01,29.17,70.17,75.37,19.37,33.78,245.47,51.56,74.08,24.8,-3.51,-2.0,-1.79,13.14,2.56,1.47
istockphoto-1309538077-612x612.jpg,244.23,222.63,219.01,29.17,70.17,75.37,19.37,33.78,245.47,51.56,74.08,24.8,-3.51,-2.0,-1.79,13.14,2.56,1.47
istockphoto-1310793420-612x612.jpg,227.48,172.77,166.77,45.75,101.86,107.3,24.42,84.22,228.57,56.91,104.26,42.98,-1.92,-0.61,-0.52,3.31,-1.37,-1.56
istockphoto-1310793420-612x612.jpg,227.48,172.77,166.77,45.75,101.86,107.3,24.42,84.22,228.57,56.91,104.26,42.98,-1.92,-0.61,-0.52,3.31,-1.37,-1.56
istockphoto-1310793536-612x612.jpg,225.58,172.43,165.01,45.48,101.07,107.46,15.64,86.01,227.28,44.74,104.29,41.43,-1.74,-0.59,-0.47,2.57,-1.39,-1.61
istockphoto-1310793536-612x612.jpg,225.58,172.43,165.01,45.48,101.07,107.46,15.64,86.01,227.28,44.74,104.29,41.43,-1.74,-0.59,-0.47,2.57,-1.39,-1.61
istockphoto-1318910681-612x612.jpg,228.28,185.15,177.8,49.32,96.2,104.41,24.64,74.85,230.33,56.49,102.16,43.62,-2.33,-0.87,-0.77,5.19,-0.95,-1.23
