Nama_File,Canny_Edge_Density_Low,Canny_Edge_Density_Medium,Canny_Edge_Density_High,Canny_Contour_Count_Low,Canny_Contour_Count_Medium,Canny_Contour_Count_High,Canny_Avg_Contour_Length_Low,Canny_Avg_Contour_Length_Medium,Canny_Avg_Contour_Length_High,Sobel_Mean,Sobel_Std
istockphoto-1014791658-612x612.jpg,3.6124,2.0823,1.1059,328,223,149,74.41,62.29,47.78,28.35,58.64
istockphoto-1014791658-612x612.jpg,3.6124,2.0823,1.1059,328,223,149,74.41,62.29,47.78,28.35,58.64
istockphoto-1015639098-612x612.jpg,4.5183,2.3268,1.1862,231,115,73,88.59,90.24,71.19,35.53,66.04
istockphoto-1015639098-612x612.jpg,4.5183,2.3268,1.1862,231,115,73,88.59,90.24,71.19,35.53,66.04
istockphoto-1015653774-612x612.jpg,7.1,4.7862,3.394,584,463,346,68.92,57.72,53.83,55.49,99.84
istockphoto-1015653774-612x612.jpg,7.1,4.7862,3.394,584,463,346,68.92,57.72,53.83,55.49,99.84
istockphoto-1032609648-612x612.jpg,3.2924,1.4838,0.5639,173,83,31,85.05,77.41,75.25,28.44,55.2
istockphoto-1032609648-612x612.jpg,3.2924,1.4838,0.5639,173,83,31,85.05,77.41,75.25,28.44,55.2
istockphoto-1056607410-612x612.jpg,3.3941,1.9183,0.9932,219,148,61,69.8,57.06,70.81,26.95,64.29
istockphoto-1056607410-612x612.jpg,3.3941,1.9183,0.9932,219,148,61,69.8,57.06,70.81,26.95,64.29
istockphoto-1127160154-612x612.jpg,2.8003,1.7299,1.2075,196,119,65,60.74,60.98,77.38,31.65,75.08
istockphoto-1127160154-612x612.jpg,2.8003,1.7299,1.2075,196,119,65,60.74,60.98,77.38,31.65,75.08
istockphoto-1140086188-612x612.jpg,3.0295,1.9118,1.2003,153,87,49,80.8,89.04,98.34,28.26,65.11
istockphoto-1140086188-612x612.jpg,3.0295,1.9118,1.2003,153,87,49,80.8,89.04,98.34,28.26,65.11
istockphoto-1166348633-612x612.jpg,5.6459,3.2435,1.6748,398,223,144,89.18,90.23,70.52,38.5,71.2
istockphoto-1166348633-612x612.jpg,5.6459,3.2435,1.6748,398,223,144,89.18,90.23,70.52,38.5,71.2
istockphoto-1170534449-612x612.jpg,4.4574,2.7994,1.6089,346,225,147,87.31,83.23,72.7,31.16,68.56
istockphoto-1170534449-612x612.jpg,4.4574,2.7994,1.6089,346,225,147,87.31,83.23,72.7,31.16,68.56
istockphoto-1173920026-612x612.jpg,5.405,3.9021,2.6865,602,489,367,59.21,51.76,46.63,47.67,95.81
istockphoto-1173920026-612x612.jpg,5.405,3.9021,2.6865,602,489,367,59.21,51.76,46.63,47.67,95.81
istockphoto-1173921402-612x612.jpg,5.3878,3.887,2.6999,605,487,367,58.68,51.75,46.93,47.22,96.24
istockphoto-1173921402-612x612.jpg,5.3878,3.887,2.6999,605,487,367,58.68,51.75,46.93,47.22,96.24
istockphoto-1177590220-612x612.jpg,5.5932,3.9466,2.1779,407,303,192,74.64,69.27,59.21,40.83,86.82
istockphoto-1177590220-612x612.jpg,5.5932,3.9466,2.1779,407,303,192,74.64,69.27,59.21,40.83,86.82
istockphoto-1180163150-612x612.jpg,3.6499,1.9144,0.9979,267,152,53,73.29,66.26,98.21,29.84,62.77
istockphoto-1180163150-612x612.jpg,3.6499,1.9144,0.9979,267,152,53,73.29,66.26,98.21,29.84,62.77
istockphoto-1180163291-612x612.jpg,3.8796,2.2856,1.1025,256,170,80,80.96,70.33,71.98,28.52,60.97
istockphoto-1180163291-612x612.jpg,3.8796,2.2856,1.1025,256,170,80,80.96,70.33,71.98,28.52,60.97
istockphoto-1181149583-612x612.jpg,4.24,2.2319,1.165,257,134,63,74.08,73.68,81.04,30.6,64.77
istockphoto-1181149583-612x612.jpg,4.24,2.2319,1.165,257,134,63,74.08,73.68,81.04,30.6,64.77
istockphoto-1210359754-612x612.jpg,4.0389,2.4826,1.3569,356,232,107,66.99,61.9,72.54,30.81,67.95
istockphoto-1210359754-612x612.jpg,4.0389,2.4826,1.3569,356,232,107,66.99,61.9,72.54,30.81,67.95
istockphoto-1249538191-612x612.jpg,6.916,4.1971,1.9836,417,318,180,74.85,58.36,46.99,44.27,80.62
istockphoto-1249538191-612x612.jpg,6.916,4.1971,1.9836,417,318,180,74.85,58.36,46.99,44.27,80.62
istockphoto-1250636720-612x612.jpg,6.1905,4.0168,2.4317,424,332,224,87.48,71.14,62.98,44.52,81.23
istockphoto-1250636720-612x612.jpg,6.1905,4.0168,2.4317,424,332,224,87.48,71.14,62.98,44.52,81.23
istockphoto-1297530672-612x612.jpg,2.6656,1.9564,1.3049,253,202,135,64.65,58.44,58.0,24.04,70.7
istockphoto-1297530672-612x612.jpg,2.6656,1.9564,1.3049,253,202,135,64.65,58.44,58.0,24.04,70.7
istockphoto-1309538077-612x612.jpg,3.0405,1.9592,1.0753,227,173,82,60.56,50.25,57.08,22.14,59.42
istockphoto-1309538077-612x612.jpg,3.0405,1.9592,1.0753,227,173,82,60.56,50.25,57.08,22.14,59.42
istockphoto-1310793420-612x612.jpg,6.0159,4.2704,2.6643,474,320,184,73.11,76.31,81.83,47.36,89.4
istockphoto-1310793420-612x612.jpg,6.0159,4.2704,2.6643,474,320,184,73.11,76.31,81.83,47.36,89.4
istockphoto-1310793536-612x612.jpg,7.1107,4.67,2.8466,504,361,211,80.9,73.06,75.47,52.79,92.69
istockphoto-1310793536-612x612.jpg,7.1107,4.67,2.8466,504,361,211,80.9,73.06,75.47,52.79,92.69
istockphoto-1318910681-612x612.jpg,6.2418,4.6301,3.3978,489,393,276,74.28,67.6,69.87,50.76,101.5
istockphoto-1318910681-612x612.jpg,6.2418,4.6301,3.3978,489,393,276,74.28,67.6,69.87,50.76,101.5
istockphoto-1323348967-612x612.jpg,3.6003,2.9712,2.1644,375,319,263,52.78,50.75,43.91,30.16,75.58
istockphoto-1323348967-612x612.jpg,3.6003,2.9712,2.1644,375,319,263,52.78,50.75,43.91,30.16,75.58
istockphoto-1353381547-612x612.jpg,5.3159,3.8207,2.6178,379,281,195,79.69,75.84,74.04,45.54,84.6
istockphoto-1353381547-612x612.jpg,5.3159,3.8207,2.6178,379,281,195,79.69,75.84,74.04,45.54,84.6
istockphoto-1372477142-612x612.jpg,3.6837,2.1706,1.2151,306,180,98,81.44,81.03,83.11,26.84,64.28
istockphoto-1372477142-612x612.jpg,3.6837,2.1706,1.2151,306,180,98,81.44,81.03,83.11,26.84,64.28
istockphoto-1372477301-612x612.jpg,4.8913,3.5336,2.1586,420,334,246,78.93,70.61,57.65,35.0,76.72
istockphoto-1372477301-612x612.jpg,4.8913,3.5336,2.1586,420,334,246,78.93,70.61,57.65,35.0,76.72
istockphoto-1374147644-612x612.jpg,3.7408,2.6947,1.8908,378,309,253,67.58,58.84,49.71,31.37,77.83
istockphoto-1374147644-612x612.jpg,3.7408,2.6947,1.8908,378,309,253,67.58,58.84,49.71,31.37,77.83
istockphoto-1385278889-612x612.jpg,4.9433,3.2079,2.1359,424,340,281,79.13,62.81,50.08,39.12,80.2
istockphoto-1385278889-612x612.jpg,4.9433,3.2079,2.1359,424,340,281,79.13,62.81,50.08,39.12,80.2
istockphoto-1419022553-612x612.jpg,1.9642,1.0206,0.6133,119,50,16,86.57,105.31,200.45,19.62,60.72
istockphoto-1419022553-612x612.jpg,1.9642,1.0206,0.6133,119,50,16,86.57,105.31,200.45,19.62,60.72
istockphoto-1468233943-612x612.jpg,4.6901,2.5697,1.9523,418,283,223,69.84,55.66,53.57,38.2,76.22
istockphoto-1468233943-612x612.jpg,4.6901,2.5697,1.9523,418,283,223,69.84,55.66,53.57,38.2,76.22
istockphoto-1472288451-612x612.jpg,4.4578,2.3797,1.69,324,194,155,80.75,71.19,62.75,34.56,73.67
istockphoto-1472288451-612x612.jpg,4.4578,2.3797,1.69,324,194,155,80.75,71.19,62.75,34.56,73.67
istockphoto-153588338-612x612.jpg,4.787,2.8419,1.8556,507,375,280,57.44,45.29,39.05,36.68,78.68
istockphoto-153588338-612x612.jpg,4.787,2.8419,1.8556,507,375,280,57.44,45.29,39.05,36.68,78.68
istockphoto-158359330-612x612.jpg,4.9141,2.5745,1.6038,552,334,219,58.57,49.81,47.08,44.23,89.36
istockphoto-158359330-612x612.jpg,4.9141,2.5745,1.6038,552,334,219,58.57,49.81,47.08,44.23,89.36
istockphoto-160547309-612x612.jpg,3.9949,1.8188,0.9941,320,136,63,75.75,79.4,92.33,34.66,70.95
istockphoto-160547309-612x612.jpg,3.9949,1.8188,0.9941,320,136,63,75.75,79.4,92.33,34.66,70.95
istockphoto-2165276131-612x612.jpg,3.9013,2.1862,1.2857,205,125,83,84.85,77.24,67.07,29.86,68.19
istockphoto-2165276131-612x612.jpg,3.9013,2.1862,1.2857,205,125,83,84.85,77.24,67.07,29.86,68.19
istockphoto-2167524192-612x612.jpg,3.952,2.0094,0.9003,336,193,80,78.7,68.0,71.38,30.45,63.32
istockphoto-2167524192-612x612.jpg,3.952,2.0094,0.9003,336,193,80,78.7,68.0,71.38,30.45,63.32
istockphoto-2174035026-612x612.jpg,3.7576,2.5666,1.7304,360,265,163,70.47,64.37,69.57,29.55,73.88
istockphoto-2174035026-612x612.jpg,3.7576,2.5666,1.7304,360,265,163,70.47,64.37,69.57,29.55,73.88
istockphoto-2175145468-612x612.jpg,3.9013,2.1862,1.2857,205,125,83,84.85,77.24,67.07,29.86,68.19
istockphoto-2175145468-612x612.jpg,3.9013,2.1862,1.2857,205,125,83,84.85,77.24,67.07,29.86,68.19
istockphoto-2205087484-612x612.jpg,3.8186,2.2603,1.1863,321,233,102,81.13,65.03,78.09,28.4,69.26
istockphoto-2205087484-612x612.jpg,3.8186,2.2603,1.1863,321,233,102,81.13,65.03,78.09,28.4,69.26
istockphoto-2211945863-612x612.jpg,6.3858,4.7987,2.7797,399,316,192,59.83,55.8,52.23,48.86,105.09
istockphoto-2211945863-612x612.jpg,6.3858,4.7987,2.7797,399,316,192,59.83,55.8,52.23,48.86,105.09
istockphoto-513685968-612x612.jpg,4.6088,3.1658,2.2664,329,259,180,62.83,53.78,54.59,44.12,94.17
istockphoto-513685968-612x612.jpg,4.6088,3.1658,2.2664,329,259,180,62.83,53.78,54.59,44.12,94.17
istockphoto-531797764-612x612.jpg,7.993,5.2507,2.7284,523,400,228,75.88,63.63,56.95,58.3,89.72
istockphoto-531797764-612x612.jpg,7.993,5.2507,2.7284,523,400,228,75.88,63.63,56.95,58.3,89.72
